,Name,No.of votes,Percentage of votes,Party
796,Dr. Mahesh Chandra Verma,"221,887",29.9%,Bahujan Samaj Party
797,Subrat Pathak,"150,872",20.3%,Bharatiya Janta Party
798,Helen Davidson J,"320,161",41.8%,Dravida Munetra Kazhagam
799,Radhakrishnan P,"254,474",33.2%,Bharatiya Janta Party
800,Bellarmin Av,"85,583",11.2%,Communist Party Of India (MARXIST)
801,K. Sudhakaran,"432,878",49.9%,Indian National Congress
802,K.K Ragesh,"389,727",44.9%,Communist Party Of India (MARXIST)
803,P.P Karunakaran Master,"27,123",3.1%,Bharatiya Janta Party
804,Sri Prakash Jaiswal,"214,988",41.9%,Indian National Congress
805,Satish Mahana,"196,082",38.2%,Bharatiya Janta Party
806,Sukhda Mishra,"48,374",9.4%,Bahujan Samaj Party
807,Adhikari Sisir Kumar,"606,712",53.9%,All India Trinamool Congress
808,Prasanta Pradhan,"477,609",42.5%,Communist Party Of India (MARXIST)
809,Amalesh Mishra,"31,952",2.8%,Bharatiya Janta Party
810,Mahabali Singh,"196,946",34.1%,Janata Dal (United)
811,Kanti Singh,"176,463",30.6%,Rashtriya Janata Dal
812,Awadhesh Kumar Singh,"71,057",12.3%,Indian National Congress
813,Khiladi Lal Bairwa,"215,810",44.3%,Indian National Congress
814,Dr Manoj Rajoria,"186,087",38.2%,Bharatiya Janta Party
815,Hattiram,"39,881",8.2%,Bahujan Samaj Party
816,Lalit Mohan Suklabaidya,"259,717",37.9%,Indian National Congress
817,Rajesh Mallah,"251,797",36.7%,Assam United Democratic Front
818,Sudhangshu Das,"148,945",21.7%,Bharatiya Janta Party
819,Ponnam Prabhakar,"317,927",32.1%,Indian National Congress
820,Vinod Kumar Boinapally,"267,684",27.0%,Telangana Rashtra Samithi
821,Velichala Rajender Rao,"175,582",17.7%,Praja Rajyam Party
822,Arvind Kumar Sharma,"304,698",37.6%,Indian National Congress
823,Maratha Virender Verma,"228,352",28.2%,Bahujan Samaj Party
824,I.D.Swami,"185,437",22.9%,Bharatiya Janta Party
825,Thambidurai.M,"380,542",46.1%,All India Anna Dravida Munnetra Kazhagam
826,Pallanishamy. K.C.,"333,288",40.4%,Dravida Munetra Kazhagam
827,Ramanathan.R,"51,196",6.2%,Desiya Murpokku Dravida Kazhagam
828,P Karunakaran,"385,522",45.5%,Communist Party Of India (MARXIST)
829,Shahida Kamal,"321,095",37.9%,Indian National Congress
830,K. Surendran,"125,482",14.8%,Bharatiya Janta Party
831,Nikhil Kumar Choudhary,"269,834",37.2%,Bharatiya Janta Party
832,Shah Tariq Anwar,"255,819",35.3%,Nationalist Congress Party
833,Ahmad Ashfaque Karim,"45,773",6.3%,Lok Jan Shakti Party
834,Shailendra Kumar,"246,501",44.7%,Samajwadi Party
835,Girish Chandra Pasi,"190,712",34.6%,Bahujan Samaj Party
836,Ram Nihor Rakesh,"40,765",7.4%,Indian National Congress
837,Baijayant Panda,"502,635",51.1%,Biju Janata Dal
838,Ranjib Biswal,"375,528",38.2%,Indian National Congress
839,Jnandev Beura,"80,392",8.2%,Bharatiya Janta Party
840,Yashbant Narayan Singh Laguri,"389,104",43.6%,Biju Janata Dal
841,Dhanurjaya Sidu,"262,620",29.4%,Indian National Congress
842,Ananta Nayak,"164,023",18.4%,Bharatiya Janta Party
843,Dr. Rattan Singh Ajnala,"467,980",49.4%,Shiromani Akali Dal
844,Rana Gurjeet Singh,"435,720",46.0%,Indian National Congress
845,Surinder Singh Shahi,"13,333",1.4%,Bahujan Samaj Party
846,Dinesh Chandra Yadav,"266,964",42.7%,Janata Dal (United)
847,Ravindar Kr. Rana,"128,209",20.5%,Rashtriya Janata Dal
848,Choudhary Mehboob Ali Kaiser,"127,495",20.4%,Indian National Congress
849,Jeetendra Singh Bundela,"229,369",39.3%,Bharatiya Janta Party
850,Raja Paterya,"201,037",34.5%,Indian National Congress
851,Sewa Lal Patel,"77,107",13.2%,Bahujan Samaj Party
852,Nama Nageswara Rao,"469,368",45.2%,Telugu Desam
853,Renuka Chowdhury,"344,920",33.2%,Indian National Congress
854,Jalagam Hemamalini,"131,135",12.6%,Praja Rajyam Party
855,Arun Subhashchandra Yadav,"394,241",48.5%,Indian National Congress
856,Nandkumar Singh Chauhan (Nandu Bhaiya),"345,160",42.4%,Bharatiya Janta Party
857,Baba Abdul Hameed,"23,716",2.9%,Independent
858,Makansingh Solanki (Babuji),"351,296",46.2%,Bharatiya Janta Party
859,Balaram Bachchan,"317,121",41.7%,Indian National Congress
860,Bhai Kiransingh Badole (Kiresh),"31,905",4.2%,Communist Party Of India
861,Dinsha Patel,"284,004",47.1%,Indian National Congress
862,Chauhan Devusinh Jesingbhai,"283,158",47.0%,Bharatiya Janta Party
863,Shekh Taufikhusen Gulamrasul,"13,840",2.3%,Independent
864,Zafar Ali Naqvi,"184,982",26.1%,Indian National Congress
865,Iliyas Azmi,"176,205",24.9%,Bahujan Samaj Party
866,Ajay Kumar,"162,850",23.0%,Bharatiya Janta Party
867,Karia Munda,"210,214",41.2%,Bharatiya Janta Party
868,Neil Tirkey,"130,039",25.5%,Indian National Congress
869,Nishikant Horo,"84,025",16.5%,Jharkhand Party
870,Mohammad Asrarul Haque,"239,405",38.2%,Indian National Congress
871,Syed Mahmood Ashraf,"159,136",25.4%,Janata Dal (United)
872,Tasleem Uddin,"124,182",19.8%,Rashtriya Janata Dal
873,Babulal Marandi,"199,462",25.6%,Jharkhand Vikas Morcha (Prajatantrik)
874,Raj Kumar Yadav,"150,942",19.3%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
875,Laxaman Sawarnkar,"115,145",14.8%,Bharatiya Janta Party
876,Sansuma Khunggur Bwiswmuthiary,"495,211",48.8%,Bodaland Peoples Front
877,Urkhao Gwra Brahma,"304,889",30.0%,Independent
878,Sabda Ram Rabha,"214,684",21.2%,Asom Gana Parisad
879,K.H.Muniyappa,"344,771",37.1%,Indian National Congress
880,D.S.Veeraiah,"321,765",34.7%,Bharatiya Janta Party
881,G.Chandranna,"199,896",21.5%,Janata Dal (Secular)
882,Sadashivrao Dadoba Mandlik,"428,082",41.6%,Independent
883,Chhatrapati Sambhajiraje Shahu,"383,282",37.2%,Nationalist Congress Party
884,Devane Vijay Shamrao,"172,822",16.8%,Shiv Sena
885,Mamata Banerjee,"576,045",57.1%,All India Trinamool Congress
886,Rabin Deb,"356,474",35.4%,Communist Party Of India (MARXIST)
887,Jyotsna Banerjee,"39,744",3.9%,Bharatiya Janta Party
888,Sudip Bandyopadhyay,"460,646",52.4%,All India Trinamool Congress
889,Md. Salim,"351,368",40.0%,Communist Party Of India (MARXIST)
890,Tathagata Roy,"37,044",4.2%,Bharatiya Janta Party
891,N.Peethambarakurup,"357,401",47.3%,Indian National Congress
892,P.Rajendran,"339,870",45.0%,Communist Party Of India (MARXIST)
893,Vayakkal Madhu,"33,078",4.4%,Bharatiya Janta Party
894,Shivaramagouda Shivanagouda,"291,693",38.6%,Bharatiya Janta Party
895,Basavaraj Rayareddy,"209,904",27.8%,Indian National Congress
896,Ansari Iqbal,"180,380",23.9%,Janata Dal (Secular)
897,Jayaram Pangi,"312,776",41.2%,Biju Janata Dal
898,Giridhar Gamang,"216,416",28.5%,Indian National Congress
899,Upendra Majhi,"111,690",14.7%,Bharatiya Janta Party
900,Charan Das Mahant,"314,616",42.2%,Indian National Congress
901,Karuna Shukla,"293,879",39.4%,Bharatiya Janta Party
902,Hira Singh Markaam,"32,962",4.4%,Gondvana Gantantra Party
903,Ijyaraj Singh,"360,486",52.8%,Indian National Congress
904,Shyam Sharma,"277,393",40.7%,Bharatiya Janta Party
905,Dr. K. Shringi,"14,323",2.1%,Independent
906,Jose K.Mani (Karingozheckal),"404,962",50.0%,Kerala Congress(M)
907,Adv. Suresh Kurup,"333,392",41.2%,Communist Party Of India (MARXIST)
908,Adv. Narayanan Namboothiri,"37,422",4.6%,Bharatiya Janta Party
909,M.K. Raghavan,"342,309",42.8%,Indian National Congress
910,Adv. P.A. Mohamed Riyas,"341,471",42.7%,Communist Party Of India (MARXIST)
911,V. Muraleedharan,"89,718",11.2%,Bharatiya Janta Party
912,Sugavanam. E.G.,"335,977",44.6%,Dravida Munetra Kazhagam
913,Nanjegowdu. K.,"259,379",34.5%,All India Anna Dravida Munnetra Kazhagam
914,Anbarasan. D.,"97,546",13.0%,Desiya Murpokku Dravida Kazhagam
915,Tapas Paul,"443,679",42.4%,All India Trinamool Congress
916,Jyotirmoyee Sikdar,"366,293",35.0%,Communist Party Of India (MARXIST)
917,Satya Brata Mookherjee,"175,283",16.7%,Bharatiya Janta Party
918,Kotla Jaya Surya Prakash Reddy,"382,668",43.8%,Indian National Congress
919,B.T.Naidu,"308,895",35.4%,Telugu Desam
920,Dr.Dandiya Khaja Peera,"114,803",13.1%,Praja Rajyam Party
921,Naveen Jindal,"397,204",45.4%,Indian National Congress
922,Ashok Kumar Arora,"278,475",31.8%,Indian National Lok Dal
923,Gurdyal Singh Saini,"151,231",17.3%,Bahujan Samaj Party
924,Ku. Ratanjeet Pratap Narayan Singh,"223,954",30.6%,Indian National Congress
925,Swami Prasad Maurya,"202,860",27.7%,Bahujan Samaj Party
926,Vijay Dubey,"162,189",22.2%,Bharatiya Janta Party
927,Hassan Khan,"32,701",29.5%,Independent
928,Phuntsog Namgyal,"29,017",26.1%,Indian National Congress
929,Asgar Ali Karbalaie,"24,498",22.1%,Independent
930,Ranee Narah,"352,330",38.7%,Indian National Congress
931,Dr. Arun Kr. Sarma,"307,758",33.8%,Asom Gana Parisad
932,Ranoj Pegu,"147,586",16.2%,Independent
933,Hamdullah Sayeed,"20,492",51.9%,Indian National Congress
934,Dr. Pookunhikoya,"18,294",46.3%,Nationalist Congress Party
935,M.K. Lukmanul Hakeem,467,1.2%,Communist Party Of India (MARXIST)
936,Dr. Baliram,"207,998",31.6%,Bahujan Samaj Party
937,Neelam Sonkar,"168,050",25.5%,Bharatiya Janta Party
938,Daroga Prasad Saroj,"147,182",22.3%,Samajwadi Party
939,Awale Jaywant Gangaram,"372,890",44.9%,Indian National Congress
940,Gaikwad Sunil Baliram,"364,915",44.0%,Bharatiya Janta Party
941,Adv. Babasaheb Sadashivrao Gaikwad,"34,033",4.1%,Bahujan Samaj Party
942,Sudarshan Bhagat,"144,628",27.7%,Bharatiya Janta Party
943,Chamra Linda,"136,345",26.1%,Independent
944,Rameshwar Oraon,"129,622",24.8%,Indian National Congress
945,Lal Ji Tandon,"204,028",34.7%,Bharatiya Janta Party
946,Rita Bahuguna Joshi,"163,127",27.8%,Indian National Congress
947,Dr. Akhilesh Das Gupta,"133,610",22.7%,Bahujan Samaj Party
948,Manish Tewari,"449,264",53.1%,Indian National Congress
949,Gurcharan Singh Galib,"335,558",39.7%,Shiromani Akali Dal
950,Kehar Singh,"32,660",3.9%,Bahujan Samaj Party
951,Tufani Saroj,"223,152",31.1%,Samajwadi Party
952,Kamla Kant Gautam (K.K. Gautam),"198,846",27.7%,Bahujan Samaj Party
953,Vidyasagar Sonker,"146,031",20.3%,Bharatiya Janta Party
954,Konakalla Narayana Rao,"409,936",39.0%,Telugu Desam
955,Badiga Ramakrishna,"397,480",37.8%,Indian National Congress
956,Chennamsetti Ramachandraiah,"186,921",17.8%,Praja Rajyam Party
957,Pawar Sharadchandra Govindrao,"530,596",57.7%,Nationalist Congress Party
958,Deshmukh Subhash Sureshchandra,"216,137",23.5%,Bharatiya Janta Party
959,Mahadeo Jagannath Jankar,"98,946",10.8%,Rashtriya Samaj Paksha
960,Sharad Yadav,"370,585",49.0%,Janata Dal (United)
961,Prof. Ravindra Charan Yadav,"192,964",25.5%,Rashtriya Janata Dal
962,Dr.Tara Nand Sada,"67,803",9.0%,Indian National Congress
963,Hukmadeo Narayan Yadav,"164,094",29.5%,Bharatiya Janta Party
964,Abdulbari Siddiki,"154,167",27.7%,Rashtriya Janata Dal
965,Dr. Shakeel Ahamad,"111,423",20.0%,Indian National Congress
966,Alagiri M.K,"431,295",54.5%,Dravida Munetra Kazhagam
967,Mohan P,"290,310",36.7%,Communist Party Of India (MARXIST)
968,Kaviarasu K,"54,419",6.9%,Desiya Murpokku Dravida Kazhagam
969,P. Balram,"394,447",39.6%,Indian National Congress
970,Kunja Srinivasa Rao,"325,490",32.7%,Communist Party Of India
971,D.T. Naik,"145,299",14.6%,Praja Rajyam Party
972,Harsh Vardhan,"305,474",51.0%,Indian National Congress
973,Ganesh Shanker Pandey,"181,846",30.3%,Bahujan Samaj Party
974,Pankaj Chaudhary,"173,041",28.9%,Bharatiya Janta Party
975,Uma Shanaker Singh,"211,610",35.3%,Rashtriya Janata Dal
976,Prabhu Nath Singh,"208,813",34.8%,Janata Dal (United)
977,Tarkeshwar Singh,"80,162",13.4%,Indian National Congress
978,Chandulal Sahu (Chandu Bhaiya),"371,201",47.8%,Bharatiya Janta Party
979,Motilal Sahu,"319,726",41.2%,Indian National Congress
980,Sultansingh Satnam,"18,998",2.4%,Independent
981,K. Chandrasekhar Rao,"366,569",39.5%,Telangana Rashtra Samithi
982,Devarakonda Vittal Rao,"346,385",37.3%,Indian National Congress
983,Kuchakulla Yadagiri Reddy,"57,955",6.2%,Bharatiya Janta Party
984,Patel Jayshreeben Kanubhai,"334,631",48.3%,Bharatiya Janta Party
985,Jivabhai Ambalal Patel,"312,766",45.2%,Indian National Congress
986,Patel Laljibhai Keshavlal,"12,063",1.7%,Independent
987,Mulayam Singh Yadav,"392,308",56.3%,Samajwadi Party
988,Vinay Shakya,"219,239",31.5%,Bahujan Samaj Party
989,Tripti Shakya,"56,265",8.1%,Bharatiya Janta Party
990,E. Ahamed,"427,940",54.5%,Muslim League Kerala State Committee
991,T.K. Hamza,"312,343",39.8%,Communist Party Of India (MARXIST)
992,Adv. N. Aravindan,"36,016",4.6%,Bharatiya Janta Party
993,Abu Hasem Khan Choudhury,"443,377",53.3%,Indian National Congress
994,Abdur Razzaque,"307,097",36.9%,Communist Party Of India (MARXIST)
995,Dipak Kumar Chowdhury,"43,997",5.3%,Bharatiya Janta Party
996,Mausam Noor,"440,264",47.7%,Indian National Congress
997,Sailen Sarkar,"380,123",41.2%,Communist Party Of India (MARXIST)
998,Amlan Bhaduri,"61,515",6.7%,Bharatiya Janta Party
999,Sarvey Sathyanarayana,"388,368",32.2%,Indian National Congress
1000,Bheemsen.T,"295,042",24.5%,Telugu Desam
1001,T.Devender Goud,"238,886",19.8%,Praja Rajyam Party
1002,Virbhadra Singh,"340,973",47.8%,Indian National Congress
1003,Maheshwar Singh,"326,976",45.8%,Bharatiya Janta Party
1004,Dr. Onkar Shad,"20,664",2.9%,Communist Party Of India (MARXIST)
1005,Basori Singh Masram,"391,133",45.5%,Indian National Congress
1006,Faggan Singh Kulaste,"326,080",37.9%,Bharatiya Janta Party
1007,Jalso Dhurwey,"24,603",2.9%,Bahujan Samaj Party
1008,Meenakshi Natrajan,"373,532",48.8%,Indian National Congress
1009,Dr. Laxminarayan Pandeya,"342,713",44.8%,Bharatiya Janta Party
1010,Laxminarayan Bhagirath Patidar,"10,712",1.4%,Independent
1011,N Cheluvaraya Swamy @ Swamygowda,"384,443",37.3%,Janata Dal (Secular)
1012,M H Ambareesh,"360,943",35.0%,Indian National Congress
1013,L R Shivaramegowda,"144,875",14.0%,Bharatiya Janta Party
1014,Ramen Deka,"307,881",31.1%,Bharatiya Janta Party
1015,Madhab Rajbangshi,"252,032",25.5%,Indian National Congress
1016,Badiuj Zamal,"180,430",18.3%,Assam United Democratic Front
1017,Jayant Chaudhary,"379,870",52.3%,Rashtriya Lok Dal
1018,Shyam Sunder Sharma,"210,257",28.9%,Bahujan Samaj Party
1019,Manvendra Singh,"85,418",11.8%,Indian National Congress
1020,Choudhury Mohan Jatua,"565,505",53.9%,All India Trinamool Congress
1021,Animesh Naskar,"435,542",41.5%,Communist Party Of India (MARXIST)
1022,Binay Kumar Biswas,"27,432",2.6%,Bharatiya Janta Party
1023,Babar Gajanan Dharmshi,"364,857",50.8%,Shiv Sena
1024,Pansare Azam Fakeerbhai,"284,238",39.6%,Nationalist Congress Party
1025,Mishra Umakant Rameshwar,"20,455",2.8%,Bahujan Samaj Party
1026,Kodikkunnil Suresh,"397,211",49.3%,Indian National Congress
1027,R.S Anil,"349,163",43.3%,Communist Party Of India
1028,P.M Velayudhan,"40,992",5.1%,Bharatiya Janta Party
1029,Maniyan O.S.,"364,089",45.5%,All India Anna Dravida Munnetra Kazhagam
1030,Mani Shankar Aiyar,"327,235",40.9%,Indian National Congress
1031,Pandian K,"44,754",5.6%,Desiya Murpokku Dravida Kazhagam
1032,Laxman Tudu,"256,648",31.1%,Biju Janata Dal
1033,Sudam Marndi,"190,470",23.1%,Jharkhand Mukti Morcha
1034,Droupadi Murmu,"150,827",18.3%,Bharatiya Janta Party
1035,Vijaya Shanthi .M,"388,839",36.6%,Telangana Rashtra Samithi
1036,Narendranath .C,"382,762",36.0%,Indian National Congress
1037,Khaja Quayum Anwar,"120,812",11.4%,Praja Rajyam Party
1038,Prabodh Panda,"493,021",47.2%,Communist Party Of India
1039,Dipak Kumar Ghosh,"445,004",42.6%,All India Trinamool Congress
1040,Pradip Patnaik,"52,061",5.0%,Bharatiya Janta Party
1041,Rajendra Agarwal,"232,137",31.9%,Bharatiya Janta Party
1042,Malook Nagar,"184,991",25.4%,Bahujan Samaj Party
1043,Shahid Manzoor,"183,527",25.2%,Samajwadi Party
1044,Bal Kumar Patel,"218,898",29.9%,Samajwadi Party
1045,Anil Kumar Maurya,"199,216",27.2%,Bahujan Samaj Party
1046,Anurag Singh,"139,686",19.1%,Bharatiya Janta Party
1047,Ashok Kumar Rawat,"207,627",34.2%,Bahujan Samaj Party
1048,Shyam Prakash,"184,335",30.3%,Samajwadi Party
1049,Om Prakash,"125,862",20.7%,Indian National Congress
1050,C.L.Ruala,"213,779",64.3%,Indian National Congress
1051,Dr. H. Lallungmuana,"104,824",31.5%,Independent
1052,Rualpawla,"4,089",1.2%,Independent
1053,Sushila Saroj,"256,367",36.9%,Samajwadi Party
1054,Jai Prakash,"179,772",25.9%,Bahujan Samaj Party
1055,R.K.Chaudhary,"144,341",20.8%,Rashtriya Swabhimaan Party
1056,Mohammed Azharuddin,"301,283",39.6%,Indian National Congress
1057,Kunwar Sarvesh Kumar Alias Rakesh,"252,176",33.1%,Bharatiya Janta Party
1058,Rajiv Channa,"147,594",19.4%,Bahujan Samaj Party
1059,Narendra Singh Tomar,"300,647",42.3%,Bharatiya Janta Party
1060,Ramniwas Rawat,"199,650",28.1%,Indian National Congress
1061,Balveer Singh Dandotiya,"142,073",20.0%,Bahujan Samaj Party
1062,Sanjay Brijkishorlal Nirupam,"255,157",37.2%,Indian National Congress
1063,Ram Naik,"249,378",36.4%,Bharatiya Janta Party
1064,Parkar Shirish Laxman,"147,502",21.5%,Maharashtra Navnirman Sena
1065,Dutt Priya Sunil,"319,352",48.0%,Indian National Congress
1066,Mahesh Ram Jethmalani,"144,797",21.8%,Bharatiya Janta Party
1067,Shilpa Atul Sarpotdar,"132,546",19.9%,Maharashtra Navnirman Sena
1068,Sanjay Dina Patil,"213,505",32.0%,Nationalist Congress Party
1069,Kirit Somaiya,"210,572",31.5%,Bharatiya Janta Party
1070,Shishir Shinde,"195,148",29.2%,Maharashtra Navnirman Sena
1071,Ad.Kamat Gurudas Vasant,"253,920",35.9%,Indian National Congress
1072,Gajanan Kirtikar,"215,533",30.5%,Shiv Sena
1073,Thakare Shalini Jitendra,"124,000",17.5%,Maharashtra Navnirman Sena
1074,Deora Milind Murli,"272,411",42.5%,Indian National Congress
1075,Bala Nandgaonkar,"159,729",24.9%,Maharashtra Navnirman Sena
1076,Mohan Rawale,"146,118",22.8%,Shiv Sena
1077,Eknath M. Gaikwad,"257,523",43.0%,Indian National Congress
1078,Suresh Anant Gambhir,"181,817",30.4%,Shiv Sena
1079,Shweta Vivek Parulkar,"108,341",18.1%,Maharashtra Navnirman Sena
1080,Rajiv Ranjan Singh Alias Lalan Singh,"374,317",57.5%,Janata Dal (United)
1081,Ram Badan Roy,"184,956",28.4%,Rashtriya Janata Dal
1082,Ram Lakhan Singh,"27,929",4.3%,Indian National Congress
1083,Abdul Mannan Hossain,"496,348",47.2%,Indian National Congress
1084,Anisur Rahaman Sarkar,"460,701",43.8%,Communist Party Of India (MARXIST)
1085,Nirmal Kumar Saha,"42,290",4.0%,Bharatiya Janta Party
1086,Kadir Rana,"275,318",37.0%,Bahujan Samaj Party
1087,Anuradha Chaudhary,"254,720",34.2%,Rashtriya Lok Dal
1088,Thakur Sangeet Singh Som,"106,667",14.3%,Samajwadi Party
1089,Captain Jai Narayan Prasad Nishad,"195,091",31.4%,Janata Dal (United)
1090,Bhagwanlal Sahni,"147,282",23.7%,Lok Jan Shakti Party
1091,Vinita Vijay,"108,306",17.4%,Indian National Congress
1092,Adagur H Vishwanath,"354,810",36.4%,Indian National Congress
1093,C.H.Vijayashankar,"347,119",35.6%,Bharatiya Janta Party
1094,B.A.Jivijaya,"216,283",22.2%,Janata Dal (Secular)
1095,Pradeep Kumar Majhi,"308,307",38.9%,Indian National Congress
1096,Domburu Majhi,"278,330",35.1%,Biju Janata Dal
1097,Parsuram Majhi,"156,784",19.8%,Bharatiya Janta Party
1098,C.M. Chang,"832,224",70.0%,Nagaland Peoples Front
1099,K. Asungba Sangtam,"349,203",29.4%,Indian National Congress
1100,Dr. Rilanthung Odyuo,"8,174",0.7%,All India Trinamool Congress
1101,Vijayan A K S,"369,915",48.4%,Dravida Munetra Kazhagam
1102,Selvaraj M,"321,953",42.1%,Communist Party Of India
1103,Muthukumar M,"51,376",6.7%,Desiya Murpokku Dravida Kazhagam
1104,Dr. Manda Jagannath,"422,745",41.1%,Indian National Congress
1105,Guvvala Balaraju,"374,978",36.5%,Telangana Rashtra Samithi
1106,Devani Satyanarayana,"62,216",6.1%,Praja Rajyam Party
1107,Dr. Jyoti Mirdha,"333,261",54.6%,Indian National Congress
1108,Bindu Chaudhary,"178,124",29.2%,Bharatiya Janta Party
1109,Abdul Aziz,"68,434",11.2%,Bahujan Samaj Party
1110,Yashvir Singh,"234,815",36.5%,Samajwadi Party
1111,Ram Kishan Singh,"175,127",27.2%,Bahujan Samaj Party
1112,Munsiram,"163,062",25.3%,Rashtriya Lok Dal
1113,Muttemwar Vilasrao Baburaoji,"315,148",41.7%,Indian National Congress
1114,Purohit Banwarilal Bhagwandas,"290,749",38.5%,Bharatiya Janta Party
1115,Engineer Manikrao Vaidya,"118,741",15.7%,Bahujan Samaj Party
1116,K.C. Singh Baba,"321,377",42.6%,Indian National Congress
1117,Bachi Singh Rawat,"232,965",30.9%,Bharatiya Janta Party
1118,Narayan Pal,"143,515",19.0%,Bahujan Samaj Party
1119,Kaushalendra Kumar,"299,155",52.6%,Janata Dal (United)
1120,Satish Kumar,"146,478",25.8%,Lok Jan Shakti Party
1121,Anil Singh,"20,335",3.6%,Loktantrik Samata Dal
1122,Gutha Sukender Reddy,"493,849",45.6%,Indian National Congress
1123,Suravaram Sudhakar Reddy,"340,867",31.5%,Communist Party Of India
1124,Paduri Karuna,"150,275",13.9%,Praja Rajyam Party
1125,Gandhiselvan.S,"371,476",43.9%,Dravida Munetra Kazhagam
1126,Vairam Tamilarasi.V,"269,045",31.8%,All India Anna Dravida Munnetra Kazhagam
1127,Maheswaran.N,"79,420",9.4%,Desiya Murpokku Dravida Kazhagam
1128,Khatgaonkar Patil Bhaskarrao Bapurao,"346,400",44.7%,Indian National Congress
1129,Sambhaji Pawar,"271,786",35.1%,Bharatiya Janta Party
1130,Md. Makbul Salim Haji Md. Khaja,"84,743",10.9%,Bahujan Samaj Party
1131,Gavit Manikrao Hodlya,"275,936",36.0%,Indian National Congress
1132,Natawadkar Suhas Jayant,"195,987",25.6%,Bharatiya Janta Party
1133,Padvi Babita Karmsingh,"11,780",1.5%,Bahujan Samaj Party
1134,S.P.Y.Reddy,"400,023",40.2%,Indian National Congress
1135,Nasyam Mohammed Farook,"309,176",31.0%,Telugu Desam
1136,Bhuma Venkata Nagi Reddy,"220,829",22.2%,Praja Rajyam Party
1137,Modugula Venugopala Reddy,"463,358",42.7%,Telugu Desam
1138,Balashowry Vallabhaneni,"461,751",42.5%,Indian National Congress
1139,Shaik Syed Saheb,"114,924",10.6%,Praja Rajyam Party
1140,Bapiraju Kanumuru,"389,422",39.1%,Indian National Congress
1141,Thota Sita Rama Lakshmi,"274,732",27.6%,Telugu Desam
1142,Gubbala Tammaiah,"267,058",26.8%,Praja Rajyam Party
1143,Sameer Bhujbal,"238,706",36.3%,Nationalist Congress Party
1144,Godse Hemant Tukaram,"216,674",33.0%,Maharashtra Navnirman Sena
1145,Gaikwad Datta Namdeo,"158,251",24.1%,Shiv Sena
1146,C. R. Patil,"423,413",55.9%,Bharatiya Janta Party
1147,Dhansukh Rajput,"290,770",38.4%,Indian National Congress
1148,Satyajit Jayantilal Sheth,"12,821",1.7%,Independent
1149,Bhola Singh,"130,608",22.5%,Bharatiya Janta Party
1150,Veena Devi,"95,691",16.5%,Lok Jan Shakti Party
1151,Rajballabh Prasad,"78,543",13.5%,Independent
1152,Mekapati Rajamohan Reddy,"430,235",42.7%,Indian National Congress
1153,Vanteru Venu Gopala Reddy,"375,242",37.3%,Telugu Desam
1154,Jana Ramachandraiah,"138,111",13.7%,Praja Rajyam Party
1155,Ajay Makan,"455,867",59.6%,Indian National Congress
1156,Vijay Goel,"268,058",35.0%,Bharatiya Janta Party
1157,Trilok Chand Sharma,"22,364",2.9%,Bahujan Samaj Party
1158,Raja A,"316,802",44.6%,Dravida Munetra Kazhagam
1159,Krishnan C,"230,781",32.5%,Marumalarchi Dravida Munnetra Kazhagam
1160,Selvaraj S,"76,613",10.8%,Desiya Murpokku Dravida Kazhagam
1161,Madhu Yaskhi Goud,"296,504",33.3%,Indian National Congress
1162,Bigala Ganesh Gupta,"236,114",26.5%,Telangana Rashtra Samithi
1163,P.Vinay Kumar,"165,790",18.6%,Praja Rajyam Party
1164,Jai Prakash Agarwal,"518,191",59.0%,Indian National Congress
1165,B.L.Sharma Prem,"295,948",33.7%,Bharatiya Janta Party
1166,Haji Dilshad Ali,"44,111",5.0%,Bahujan Samaj Party
1167,Shripad Yesso Naik,"137,716",47.1%,Bharatiya Janta Party
1168,Jitendra Raghuraj Deshprabhu,"131,363",44.9%,Nationalist Congress Party
1169,Christopher Fonseca,"8,646",3.0%,Communist Party Of India
1170,Krishna Tirath,"487,404",56.8%,Indian National Congress
1171,Meera Kanwaria,"302,971",35.3%,Bharatiya Janta Party
1172,Rakesh Hans,"44,615",5.2%,Bahujan Samaj Party
1173,Rajen Gohain,"380,921",38.1%,Bharatiya Janta Party
1174,Anil Raja,"335,541",33.6%,Indian National Congress
1175,Siraj Uddin Ajmal,"245,155",24.5%,Assam United Democratic Front
1176,Magunta Srinivasulu Reddy,"450,442",43.9%,Indian National Congress
1177,Madduluri Malakondaiah Yadav,"371,919",36.2%,Telugu Desam
1178,Pidathala Sai Kalpana,"142,303",13.9%,Praja Rajyam Party
1179,Patil Padamsinha Bajirao,"408,840",44.2%,Nationalist Congress Party
1180,Gaikwad Ravindra Vishwanath,"402,053",43.5%,Shiv Sena
1181,Divakar Yashwant Nakade,"28,045",3.0%,Bahujan Samaj Party
1182,Thangso Baite,"344,517",45.7%,Indian National Congress
1183,Mani Charenamei,"224,719",29.8%,People's Democratic Alliance
1184,D. Loli Adanee,"93,052",12.4%,Bharatiya Janta Party
1185,M.B. Rajesh,"338,070",42.7%,Communist Party Of India (MARXIST)
1186,Satheesan Pacheni,"336,250",42.5%,Indian National Congress
1187,C.K. Padmanabhan,"68,804",8.7%,Bharatiya Janta Party
1188,Kameshwar Baitha,"167,995",25.8%,Jharkhand Mukti Morcha
