,Place,Rank,Name,No.of votes,Percentage of votes,Party
860,Hooghly,1,Dr. Ratna De (NAG),"614,312",45.5%,All India Trinamool Congress
861,,2,Pradip Saha,"425,228",31.5%,Communist Party Of India (MARXIST)
862,,3,Dr. Chandan Mitra,"221,271",16.4%,Bharatiya Janta Party
863,,,,,,
864,Hoshangabad,1,Uday Pratap Singh,"669,128",64.9%,Bharatiya Janta Party
865,,2,Devendra Patel Guddu Bhaiya,"279,168",27.1%,Indian National Congress
866,,3,Maya Vishwakarma,"17,837",1.7%,Aam Aadmi Party
867,,,,,,
868,Hoshiarpur,1,Vijay Sampla,"346,643",36.1%,Bharatiya Janta Party
869,,2,Mohinder Singh Kaypee,"333,061",34.6%,Indian National Congress
870,,3,Yamini Gomar,"213,388",22.2%,Aam Aadmi Party
871,,,,,,
872,Howrah,1,Prasun Banerjee,"488,461",43.4%,All India Trinamool Congress
873,,2,Sridip Bhattacharya,"291,505",25.9%,Communist Party Of India (MARXIST)
874,,3,George Baker,"248,120",22.0%,Bharatiya Janta Party
875,,,,,,
876,Hyderabad,1,Asaduddin Owaisi,"513,868",52.9%,All India Majlis-E-Ittehadul Muslimoon
877,,2,Dr.Bhagavanth Rao,"311,414",32.1%,Bharatiya Janta Party
878,,3,S Krishna Reddy,"49,310",5.1%,Indian National Congress
879,,,,,,
880,Idukki,1,Adv.Joice George,"382,019",46.6%,Independent
881,,2,Adv.Dean Kuriakose,"331,477",40.4%,Indian National Congress
882,,3,Adv.Sabu Varghese,"50,438",6.2%,Bharatiya Janta Party
883,,,,,,
884,Indore,1,Sumitra Mahajan (TAI),"854,972",64.9%,Bharatiya Janta Party
885,,2,Satyanarayan Patel,"388,071",29.5%,Indian National Congress
886,,3,Anil Trivedi,"35,169",2.7%,Aam Aadmi Party
887,,,,,,
888,Inner Manipur,1,Dr. Thokchom Meinya,"292,102",45.6%,Indian National Congress
889,,2,Moirangthem Nara,"197,428",30.8%,Communist Party Of India
890,,3,R.K. Ranjan Singh,"92,443",14.4%,Bharatiya Janta Party
891,,,,,,
892,Jabalpur,1,Rakesh Singh,"564,609",56.3%,Bharatiya Janta Party
893,,2,Vivek Krishna Tankha,"355,970",35.5%,Indian National Congress
894,,3,Aftab Alam,"16,008",1.6%,Bahujan Samaj Party
895,,,,,,
896,Jadavpur,1,Sugata Bose,"584,244",45.9%,All India Trinamool Congress
897,,2,Sujan Chakraborty,"459,041",36.1%,Communist Party Of India (MARXIST)
898,,3,Dr. Sarup Prasad Ghosh,"155,511",12.2%,Bharatiya Janta Party
899,,,,,,
900,Jagatsinghpur,1,Kulamani Samal,"624,492",55.2%,Biju Janata Dal
901,,2,Bibhu Prasad Tarai,"348,098",30.8%,Indian National Congress
902,,3,Baidhar Mallick,"117,448",10.4%,Bharatiya Janta Party
903,,,,,,
904,Jahanabad,1,Dr. Arun Kumar,"322,647",39.8%,Rashtriya Lok Samta Party
905,,2,Surendra Prasad Yadav,"280,307",34.5%,Rashtriya Janata Dal
906,,3,Anil Kumar Sharma,"100,851",12.4%,Janata Dal (United)
907,,,,,,
908,Jaipur,1,Ramcharan Bohara,"863,358",66.6%,Bharatiya Janta Party
909,,2,Dr. Mahesh Joshi,"324,013",25.0%,Indian National Congress
910,,3,Dr. Virendra Singh,"55,118",4.3%,Aam Aadmi Party
911,,,,,,
912,Jaipur Rural,1,Rajyavardhan Singh Rathore,"632,930",62.4%,Bharatiya Janta Party
913,,2,Dr. C.P. Joshi,"300,034",29.6%,Indian National Congress
914,,3,Navin Pilania,"31,617",3.1%,National People's Party
915,,,,,,
916,Jajpur,1,Rita Tarai,"541,349",55.2%,Biju Janata Dal
917,,2,Asok Das,"221,078",22.5%,Indian National Congress
918,,3,Amiya Kanta Mallick,"150,789",15.4%,Bharatiya Janta Party
919,,,,,,
920,Jalandhar,1,Santokh Singh Chaudhary,"380,479",36.6%,Indian National Congress
921,,2,Pawan Kumar Tinu,"309,498",29.7%,Shiromani Akali Dal
922,,3,Jyoti Mann,"254,121",24.4%,Aam Aadmi Party
923,,,,,,
924,Jalaun,1,Bhanu Pratap Singh Verma,"548,631",49.5%,Bharatiya Janta Party
925,,2,Brijlal Khabri,"261,429",23.6%,Bahujan Samaj Party
926,,3,Ghanshayam Anuragi,"180,921",16.3%,Samajwadi Party
927,,,,,,
928,Jalgaon,1,A.T. Nana Patil,"647,773",65.4%,Bharatiya Janta Party
929,,2,Annasaheb Dr.Satish Bhaskarrao Patil,"264,248",26.7%,Nationalist Congress Party
930,,3,Bagul V. T.(JIBHAU),"10,838",1.1%,Bahujan Samaj Party
931,,,,,,
932,Jalna,1,Danve Raosaheb Dadarao,"591,428",55.5%,Bharatiya Janta Party
933,,2,Autade Vilas Keshavrao,"384,630",36.1%,Indian National Congress
934,,3,Dr. Wankhede Sharadchandra Ganapatrao,"23,719",2.2%,Bahujan Samaj Party
935,,,,,,
936,Jalore,1,Devji Patel,"580,508",53.4%,Bharatiya Janta Party
937,,2,Anjana Udai Lal,"199,363",18.3%,Indian National Congress
938,,3,S. Buta Singh,"175,344",16.1%,Independent
939,,,,,,
940,Jalpaiguri,1,Bijoy Chandra Barman,"494,773",38.0%,All India Trinamool Congress
941,,2,Mahendra Kumar Roy,"425,167",32.7%,Communist Party Of India (MARXIST)
942,,3,Satyalal Sarkar,"221,593",17.0%,Bharatiya Janta Party
943,,,,,,
944,Jammu,1,Jugal Kishore,"619,995",49.5%,Bharatiya Janta Party
945,,2,Madan Lal Sharma,"362,715",28.9%,Indian National Congress
946,,3,Yashpal Sharma,"168,554",13.4%,Jammu &amp; Kashmir Peoples Democratic Party
947,,,,,,
948,Jamnagar,1,Poonamben Hematbhai Maadam,"484,412",56.8%,Bharatiya Janta Party
949,,2,Ahir Vikrambhai Arjanbhai Madam,"309,123",36.3%,Indian National Congress
950,,3,Mamad Haji Bolim,"8,596",1.0%,Independent
951,,,,,,
952,Jamshedpur,1,Bidyut Baran Mahato,"464,153",44.2%,Bharatiya Janta Party
953,,2,Ajay Kumar,"364,277",34.7%,Jharkhand Vikas Morcha (Prajatantrik)
954,,3,Niroop Mahanty,"138,109",13.2%,Jharkhand Mukti Morcha
955,,,,,,
956,Jamui,1,Chirag Kumar Paswan,"285,354",36.8%,Lok Jan Shakti Party
957,,2,Sudhansu Shekhar Bhaskar,"199,407",25.7%,Rashtriya Janata Dal
958,,3,Uday Narain Choudhary,"198,599",25.6%,Janata Dal (United)
959,,,,,,
960,Jangipur,1,Abhijit Mukherjee,"378,201",33.8%,Indian National Congress
961,,2,Muzaffar Hossain,"370,040",33.1%,Communist Party Of India (MARXIST)
962,,3,Sk Nurul Islam,"207,455",18.5%,All India Trinamool Congress
963,,,,,,
964,Janjgir-Champa,1,Kamla Patle,"518,909",48.3%,Bharatiya Janta Party
965,,2,Prem Chand Jayasi,"343,948",32.0%,Indian National Congress
966,,3,Duj Ram Bouddh,"125,617",11.7%,Bahujan Samaj Party
967,,,,,,
968,Jaunpur,1,Krishna Pratap 'k.P.',"367,149",36.5%,Bharatiya Janta Party
969,,2,Subhash Pandey,"220,839",21.9%,Bahujan Samaj Party
970,,3,Parasnath Yadav,"180,003",17.9%,Samajwadi Party
971,,,,,,
972,Jhalawar-Baran,1,Dushyant Singh,"676,102",59.0%,Bharatiya Janta Party
973,,2,Pramod Bhaya,"394,556",34.4%,Indian National Congress
974,,3,Chandra Singh,"23,587",2.1%,Bahujan Samaj Party
975,,,,,,
976,Jhanjharpur,1,Birendra Kumar Chaudhary,"335,481",35.6%,Bharatiya Janta Party
977,,2,Mangani Lal Mandal,"280,073",29.8%,Rashtriya Janata Dal
978,,3,Devendra Prasad Yadav,"183,591",19.5%,Janata Dal (United)
979,,,,,,
980,Jhansi,1,Uma Bharati,"575,889",43.6%,Bharatiya Janta Party
981,,2,Dr. Chandrapal Singh Yadav,"385,422",29.2%,Samajwadi Party
982,,3,Anuradha Sharma,"213,792",16.2%,Bahujan Samaj Party
983,,,,,,
984,Jhargram,1,Uma Saren,"674,504",53.6%,All India Trinamool Congress
985,,2,Dr. Pulin Bihari Baske,"326,621",26.0%,Communist Party Of India (MARXIST)
986,,3,Bikash Mudi,"122,459",9.7%,Bharatiya Janta Party
987,,,,,,
988,Jhunjhunu,1,Santosh Ahlawat,"488,182",48.5%,Bharatiya Janta Party
989,,2,Raj Bala Ola,"254,347",25.3%,Indian National Congress
990,,3,Dr. Rajkumar Sharma,"206,288",20.5%,Independent
991,,,,,,
992,Jodhpur,1,Gajendrasingh Shekhawat,"713,515",66.2%,Bharatiya Janta Party
993,,2,Chandresh Kumari,"303,464",28.1%,Indian National Congress
994,,3,Goparam Meghwal,"13,511",1.3%,Bahujan Samaj Party
995,,,,,,
996,Jorhat,1,Kamakhya Prasad Tasa,"456,420",49.0%,Bharatiya Janta Party
997,,2,Bijoy Krishna Handique,"354,000",38.0%,Indian National Congress
998,,3,Prodip Hazarika,"46,626",5.0%,Asom Gana Parisad
999,,,,,,
1000,Joynagar,1,Pratima Mondal,"494,746",41.7%,All India Trinamool Congress
1001,,2,Subhas Naskar,"386,362",32.6%,Revolutionary Socialist Party
1002,,3,Dr. Tarun Mandal,"117,454",9.9%,Socialist Unity Centre Of India (COMMUNIST)
1003,,,,,,
1004,Junagadh,1,Chudasama Rajeshbhai Naranbhai,"513,179",54.5%,Bharatiya Janta Party
1005,,2,Punjabhai Bhimabhai Vansh,"377,347",40.1%,Indian National Congress
1006,,3,Atul Govindbhai Shekhada,"16,674",1.8%,Aam Aadmi Party
1007,,,,,,
1008,Kachchh,1,Chavda Vinod Lakhamashi,"562,855",59.5%,Bharatiya Janta Party
1009,,2,Dr.Dinesh Parmar,"308,373",32.6%,Indian National Congress
1010,,3,Kamalbhai Matang,"21,230",2.2%,Bahujan Samaj Party
1011,,,,,,
1012,Kadapa,1,Y.S. Avinash Reddy,"671,983",56.0%,Yuvajana Sramika Rythu Congress Party
1013,,2,Srinivasa Reddy Reddeppagari,"481,660",40.1%,Telugu Desam
1014,,3,Ajaya Kumar Veena,"14,319",1.2%,Indian National Congress
1015,,,,,,
1016,Kairana,1,Hukum Singh,"565,909",50.6%,Bharatiya Janta Party
1017,,2,Nahid Hasan,"329,081",29.4%,Samajwadi Party
1018,,3,Kanwar Hasan,"160,414",14.3%,Bahujan Samaj Party
1019,,,,,,
1020,Kaiserganj,1,Brij Bhusan Sharan Singh,"381,500",40.4%,Bharatiya Janta Party
1021,,2,Vinod Kumar Alias Pandit Singh,"303,282",32.1%,Samajwadi Party
1022,,3,Krishna Kumar Ojha,"146,726",15.6%,Bahujan Samaj Party
1023,,,,,,
1024,Kakinada,1,Thota Narasimham,"514,402",46.8%,Telugu Desam
1025,,2,Chalamalasetty Sunil,"510,971",46.5%,Yuvajana Sramika Rythu Congress Party
1026,,3,Mallipudi Mangapati Pallam Raju,"19,754",1.8%,Indian National Congress
1027,,,,,,
1028,Kalahandi,1,Arka Keshari Deo,"370,871",33.2%,Biju Janata Dal
1029,,2,Pradipta Kumar Naik,"314,524",28.1%,Bharatiya Janta Party
1030,,3,Bhakta Charan Das,"307,967",27.6%,Indian National Congress
1031,,,,,,
1032,Kaliabor,1,Gourav Gogoi,"443,315",38.0%,Indian National Congress
1033,,2,Mrinal Kumar Saikia,"349,441",30.0%,Bharatiya Janta Party
1034,,3,Bijoy Kumar Tiru,"231,295",19.8%,All India United Democratic Front
1035,,,,,,
1036,Kallakurichi,1,Kamaraj. K,"533,383",48.2%,All India Anna Dravida Munnetra Kazhagam
1037,,2,Manimaran. R,"309,876",28.0%,Dravida Munetra Kazhagam
1038,,3,Eswaran. V. P,"164,183",14.8%,Desiya Murpokku Dravida Kazhagam
1039,,,,,,
1040,Kalyan,1,Dr.Shrikant Eknath Shinde,"440,892",53.5%,Shiv Sena
1041,,2,Anand Prakash Paranjpe,"190,143",23.1%,Nationalist Congress Party
1042,,3,Pramod (RAJU) RATAN PATIL,"122,349",14.8%,Maharashtra Navnirman Sena
1043,,,,,,
1044,Kancheepuram,1,Maragatham K,"499,395",44.3%,All India Anna Dravida Munnetra Kazhagam
1045,,2,Selvam G,"352,529",31.2%,Dravida Munetra Kazhagam
1046,,3,Sathya C.E.,"207,080",18.4%,Marumalarchi Dravida Munnetra Kazhagam
1047,,,,,,
1048,Kandhamal,1,Hemendra Chandra Singh,"421,458",50.2%,Biju Janata Dal
1049,,2,Harihar Karan,"240,441",28.6%,Indian National Congress
1050,,3,Sukanta Kumar Panigrahi,"108,744",13.0%,Bharatiya Janta Party
1051,,,,,,
1052,Kangra,1,Shanta Kumar,"456,163",57.1%,Bharatiya Janta Party
1053,,2,Chander Kumar,"286,091",35.8%,Indian National Congress
1054,,3,Dr. Rajan Sushant,"24,430",3.1%,Aam Aadmi Party
1055,,,,,,
1056,Kanker,1,Vikram Dev Usendi,"465,215",45.7%,Bharatiya Janta Party
1057,,2,Foolodevi Netam,"430,057",42.3%,Indian National Congress
1058,,3,Ramesh Kumar Gawde,"23,482",2.3%,Communist Party Of India
1059,,,,,,
1060,Kannauj,1,Dimple Yadav,"489,164",43.9%,Samajwadi Party
1061,,2,Subrat Pathak,"469,257",42.1%,Bharatiya Janta Party
1062,,3,Nirmal Tiwari,"127,785",11.5%,Bahujan Samaj Party
1063,,,,,,
1064,Kanniyakumari,1,Radhakrishnan P.,"372,906",37.6%,Bharatiya Janta Party
1065,,2,Vasantha Kumar H.,"244,244",24.7%,Indian National Congress
1066,,3,John Thankam D.,"176,239",17.8%,All India Anna Dravida Munnetra Kazhagam
1067,,,,,,
1068,Kannur,1,P K Sreemathi Teacher,"427,622",45.1%,Communist Party Of India (MARXIST)
1069,,2,K Sudhakaran,"421,056",44.5%,Indian National Congress
1070,,3,P C Mohanan Master,"51,636",5.5%,Bharatiya Janta Party
1071,,,,,,
1072,Kanpur,1,Dr.Murli Manohar Joshi,"474,712",56.8%,Bharatiya Janta Party
1073,,2,Sriprakash Jaiswal,"251,766",30.1%,Indian National Congress
1074,,3,Saleem Ahmad,"53,218",6.4%,Bahujan Samaj Party
1075,,,,,,
1076,Kanthi,1,Adhikari Sisir Kumar,"676,749",52.4%,All India Trinamool Congress
1077,,2,Sinha Tapas,"447,259",34.6%,Communist Party Of India (MARXIST)
1078,,3,Kamalendu Pahari,"111,082",8.6%,Bharatiya Janta Party
1079,,,,,,
1080,Karakat,1,Upendra Kushwaha,"338,892",42.9%,Rashtriya Lok Samta Party
1081,,2,Kanti Singh,"233,651",29.6%,Rashtriya Janata Dal
1082,,3,Mahabali Singh,"76,709",9.7%,Janata Dal (United)
1083,,,,,,
1084,Karauli-Dholpur,1,Manoj Rajoria,"402,407",47.6%,Bharatiya Janta Party
1085,,2,Lakkhiram,"375,191",44.4%,Indian National Congress
1086,,3,G.R.Barua,"25,150",3.0%,Bahujan Samaj Party
1087,,,,,,
1088,Karimganj,1,Radheshyam Biswas,"362,866",40.9%,All India United Democratic Front
1089,,2,Krishna Das,"260,772",29.4%,Bharatiya Janta Party
1090,,3,Lalit Mohon Suklabaidya,"226,562",25.5%,Indian National Congress
1091,,,,,,
1092,Karimnagar,1,Vinod Kumar Boinapally,"505,783",44.9%,Telangana Rashtra Samithi
1093,,2,Ponnam Prabhakar,"300,706",26.7%,Indian National Congress
1094,,3,Chennamaneni Vidya Sagar Rao,"214,828",19.1%,Bharatiya Janta Party
1095,,,,,,
1096,Karnal,1,Ashwini Kumar,"594,817",49.8%,Bharatiya Janta Party
1097,,2,Arvind Kumar Sharma,"234,670",19.7%,Indian National Congress
1098,,3,Jaswinder Singh Sandhu,"187,902",15.7%,Indian National Lok Dal
1099,,,,,,
1100,Karur,1,"Thambidurai,m.","540,722",51.7%,All India Anna Dravida Munnetra Kazhagam
1101,,2,"Chinnasamy, M.","345,475",33.0%,Dravida Munetra Kazhagam
1102,,3,"Krishnan, N.S.","76,560",7.3%,Desiya Murpokku Dravida Kazhagam
1103,,,,,,
1104,Kasaragod,1,P Karunakaran,"384,964",39.5%,Communist Party Of India (MARXIST)
1105,,2,Adv. T Siddique,"378,043",38.8%,Indian National Congress
1106,,3,K Surendran,"172,826",17.7%,Bharatiya Janta Party
1107,,,,,,
1108,Katihar,1,Tariq Anwar,"431,292",44.1%,Nationalist Congress Party
1109,,2,Nikhil Kumar Choudhary,"316,552",32.4%,Bharatiya Janta Party
1110,,3,Dr. Ram Prakash Mahto,"100,765",10.3%,Janata Dal (United)
1111,,,,,,
1112,Kaushambi,1,Vinod Kumar Sonkar,"331,593",36.4%,Bharatiya Janta Party
1113,,2,Shailendra Kumar,"288,746",31.7%,Samajwadi Party
1114,,3,Suresh Pasi,"201,196",22.1%,Bahujan Samaj Party
1115,,,,,,
1116,Kendrapara,1,Baijayant Panda,"601,574",52.7%,Biju Janata Dal
1117,,2,Dharanidhar Nayak,"392,466",34.4%,Indian National Congress
1118,,3,Bishnu Prasad Das,"118,707",10.4%,Bharatiya Janta Party
1119,,,,,,
1120,Keonjhar,1,Sakuntala Laguri,"434,471",40.1%,Biju Janata Dal
1121,,2,Ananta Nayak,"277,154",25.6%,Bharatiya Janta Party
1122,,3,Madhaba Sardar,"190,531",17.6%,Indian National Congress
1123,,,,,,
1124,Khadoor Sahib,1,Ranjit Singh Brahmpura,"467,332",44.9%,Shiromani Akali Dal
1125,,2,Harminder Singh Gill,"366,763",35.2%,Indian National Congress
1126,,3,Baldeep Singh,"144,521",13.9%,Aam Aadmi Party
1127,,,,,,
1128,Khagaria,1,Choudhary Mahboob Ali Kaiser,"313,806",35.0%,Lok Jan Shakti Party
1129,,2,Krishna Kumari Yadav,"237,803",26.5%,Rashtriya Janata Dal
1130,,3,Dinesh Chandra Yadav,"220,316",24.6%,Janata Dal (United)
1131,,,,,,
1132,Khajuraho,1,Nagendra Singh,"474,966",54.3%,Bharatiya Janta Party
1133,,2,Raja Pateria,"227,476",26.0%,Indian National Congress
1134,,3,Ram Lakhan Singh,"60,368",6.9%,Bahujan Samaj Party
1135,,,,,,
1136,Khammam,1,Ponguleti Srinivasa Reddy,"421,957",35.7%,Yuvajana Sramika Rythu Congress Party
1137,,2,Nama Nageswara Rao,"409,983",34.7%,Telugu Desam
1138,,3,Kankanala Narayana,"187,653",15.9%,Communist Party Of India
1139,,,,,,
1140,Khandwa,1,Nandkumar Singh Chouhan (NANDU BHAIYA),"717,357",57.1%,Bharatiya Janta Party
1141,,2,Arun Subhash Chandra Yadav,"457,643",36.4%,Indian National Congress
1142,,3,Alok Agarwal,"16,799",1.3%,Aam Aadmi Party
1143,,,,,,
1144,Khargone,1,Subhash Patel,"649,354",56.3%,Bharatiya Janta Party
1145,,2,Ramesh Patel,"391,475",34.0%,Indian National Congress
1146,,3,Kailash Awasya,"31,222",2.7%,Aam Aadmi Party
1147,,,,,,
1148,Kheda,1,Chauhan Devusinh Jesingbhai (CHAUHAN DEVUSINH),"568,235",59.4%,Bharatiya Janta Party
1149,,2,Dinsha Patel,"335,334",35.1%,Indian National Congress
1150,,3,Roshan Priyavadan Shah,"7,442",0.8%,Independent
1151,,,,,,
1152,Kheri,1,Ajay Kumar,"398,578",37.0%,Bharatiya Janta Party
1153,,2,Arvind Giri,"288,304",26.7%,Bahujan Samaj Party
1154,,3,Zafar Ali Naqvi,"183,940",17.1%,Indian National Congress
1155,,,,,,
1156,Khunti,1,Karia Munda,"269,185",36.5%,Bharatiya Janta Party
1157,,2,Anosh Ekka,"176,937",24.0%,Jharkhand Party
1158,,3,Kali Charan Munda,"147,017",19.9%,Indian National Congress
1159,,,,,,
1160,Kishanganj,1,Mohammad Asrarul Haque,"493,461",53.1%,Indian National Congress
1161,,2,Dr Dilip Kumar Jaiswal,"298,849",32.2%,Bharatiya Janta Party
1162,,3,Akhtarul Iman,"55,822",6.0%,Janata Dal (United)
1163,,,,,,
1164,Kodarma,1,Ravindra Kr. Ray,"365,410",35.7%,Bharatiya Janta Party
1165,,2,Rajkumar Yadav,"266,756",26.0%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
1166,,3,Pranav Kumar Verma,"160,638",15.7%,Jharkhand Vikas Morcha (Prajatantrik)
1167,,,,,,
1168,Kokrajhar,1,Naba Kumar Sarania (HIRA),"634,428",51.8%,Independent
1169,,2,Urkhao Gwra Brahma,"278,649",22.8%,Independent
1170,,3,Chandan Brahma,"243,759",19.9%,Bodaland Peoples Front
1171,,,,,,
1172,Kolar,1,K.H.Muniyappa,"418,926",37.2%,Indian National Congress
1173,,2,Kolar Kesava,"371,076",32.9%,Janata Dal (Secular)
1174,,3,Em.Narayanaswamy,"267,322",23.7%,Bharatiya Janta Party
1175,,,,,,
1176,Kolhapur,1,Dhananjay Bhimrao Mahadik,"607,665",48.2%,Nationalist Congress Party
1177,,2,Sanjay Sadashiv Mandalik,"574,406",45.6%,Shiv Sena
1178,,3,Sampatrao Shamrao Pawar Patil,"13,162",1.0%,Peasants And Workers Party Of India
1179,,,,,,
1180,Kolkata Dakshin,1,Subrata Bakshi,"431,715",37.0%,All India Trinamool Congress
1181,,2,Tathagata Roy,"295,376",25.3%,Bharatiya Janta Party
1182,,3,Nandini Mukherjee,"278,414",23.8%,Communist Party Of India (MARXIST)
1183,,,,,,
1184,Kolkata Uttar,1,Sudip Bandyopadhyay,"343,687",36.0%,All India Trinamool Congress
1185,,2,Rahul (BISWAJIT) SINHA,"247,461",25.9%,Bharatiya Janta Party
1186,,3,Bagchi Rupa,"196,053",20.5%,Communist Party Of India (MARXIST)
1187,,,,,,
1188,Kollam,1,N.K.Premachandran,"408,528",46.5%,Revolutionary Socialist Party
1189,,2,M.A. Baby,"370,879",42.2%,Communist Party Of India (MARXIST)
1190,,3,P.M. Velayudhan,"58,671",6.7%,Bharatiya Janta Party
1191,,,,,,
1192,Koppal,1,Karadi Sanganna Amarappa,"486,383",48.3%,Bharatiya Janta Party
1193,,2,Basavaraj Hitnal,"453,969",45.1%,Indian National Congress
1194,,3,Syed Arif,"9,529",0.9%,Bahujan Samaj Party
1195,,,,,,
1196,Koraput,1,Jhina Hikaka,"395,109",39.9%,Biju Janata Dal
1197,,2,Giridhar Gamang,"375,781",38.0%,Indian National Congress
1198,,3,Sibasankar Ulaka,"89,788",9.1%,Bharatiya Janta Party
1199,,,,,,
1200,Korba,1,Dr. Banshilal Mahto,"439,002",41.7%,Bharatiya Janta Party
1201,,2,Charan Das Mahant,"434,737",41.3%,Indian National Congress
1202,,3,Hirasingh Markam,"52,753",5.0%,Gondvana Gantantra Party
1203,,,,,,
1204,Kota,1,Om Birla,"644,822",55.8%,Bharatiya Janta Party
1205,,2,Ijyaraj Singh,"444,040",38.4%,Indian National Congress
1206,,3,Ashok Kumar Jain,"16,981",1.5%,Aam Aadmi Party
1207,,,,,,
1208,Kottayam,1,Jose K. Mani,"424,194",51.0%,Kerala Congress(M)
1209,,2,Adv.Mathew T. Thomas,"303,595",36.5%,Janata Dal (Secular)
1210,,3,Adv.Noble Mathew,"44,357",5.3%,Independent
1211,,,,,,
1212,Kozhikode,1,M .K Raghavan,"397,615",42.2%,Indian National Congress
1213,,2,A.Vijayaraghavan,"380,732",40.4%,Communist Party Of India (MARXIST)
1214,,3,C K.Padmanabhan,"115,760",12.3%,Bharatiya Janta Party
1215,,,,,,
1216,Krishnagiri,1,Ashok Kumar.K,"480,491",45.0%,All India Anna Dravida Munnetra Kazhagam
1217,,2,Chinna Pillappa.P,"273,900",25.6%,Dravida Munetra Kazhagam
1218,,3,Mani.G.K,"224,963",21.1%,Pattali Makkal Katchi
1219,,,,,,
1220,Krishnanagar,1,Tapas Paul,"438,789",35.2%,All India Trinamool Congress
1221,,2,Jha Shantanu,"367,534",29.5%,Communist Party Of India (MARXIST)
1222,,3,Satya Brata Mookherjee,"329,387",26.4%,Bharatiya Janta Party
1223,,,,,,
1224,Kurnool,1,Butta Renuka,"472,782",44.4%,Yuvajana Sramika Rythu Congress Party
1225,,2,B.T. Naidu,"428,651",40.2%,Telugu Desam
1226,,3,Kotla Jayasuryaprakash Reddy,"116,603",10.9%,Indian National Congress
1227,,,,,,
1228,Kurukshetra,1,Raj Kumar Saini,"418,112",36.8%,Bharatiya Janta Party
1229,,2,Balbir Singh Saini,"288,376",25.4%,Indian National Lok Dal
1230,,3,Naveen Jindal,"287,722",25.3%,Indian National Congress
1231,,,,,,
1232,Kushi Nagar,1,Rajesh Pandey Urf Guddu,"370,051",38.9%,Bharatiya Janta Party
1233,,2,Kunwar Ratanjit Pratap Narain Singh,"284,511",29.9%,Indian National Congress
1234,,3,Dr. Sangam Mishra,"132,881",14.0%,Bahujan Samaj Party
1235,,,,,,
1236,Ladakh,1,Thupstan Chhewang,"31,111",26.4%,Bharatiya Janta Party
1237,,2,Ghulam Raza,"31,075",26.3%,Independent
1238,,3,Syed Mohd Kazim,"28,234",23.9%,Independent
1239,,,,,,
1240,Lakhimpur,1,Sarbananda Sonowal,"612,543",55.1%,Bharatiya Janta Party
1241,,2,Ranee Narah,"320,405",28.8%,Indian National Congress
1242,,3,Hari Prasad Dihingia,"81,753",7.4%,Asom Gana Parisad
1243,,,,,,
1244,Lakshadweep,1,Mohammed Faizal P.P.,"21,665",50.1%,Nationalist Congress Party
1245,,2,Hamdullah Sayeed,"20,130",46.6%,Indian National Congress
1246,,3,Komalam Koya,488,1.1%,Samajwadi Party
1247,,,,,,
1248,Lalganj,1,Neelam Sonkar,"324,016",36.1%,Bharatiya Janta Party
1249,,2,Bechai Saroj,"260,930",29.0%,Samajwadi Party
1250,,3,Dr. Baliram,"233,971",26.0%,Bahujan Samaj Party
1251,,,,,,
1252,Latur,1,Dr. Sunil Baliram Gaikwad,"616,509",58.3%,Bharatiya Janta Party
1253,,2,Bansode Dattatray Gunderao,"363,114",34.3%,Indian National Congress
1254,,3,Kamble Deepak Arvind,"20,029",1.9%,Bahujan Samaj Party
1255,,,,,,
1256,Lohardaga,1,Sudarshan Bhagat,"226,666",34.8%,Bharatiya Janta Party
1257,,2,Rameshwar Oraon,"220,177",33.8%,Indian National Congress
1258,,3,Chamra Linda,"118,355",18.2%,All India Trinamool Congress
1259,,,,,,
1260,Lucknow,1,Raj Nath Singh,"561,106",54.3%,Bharatiya Janta Party
1261,,2,Prof. Rita Bahuguna Joshi,"288,357",27.9%,Indian National Congress
1262,,3,Nakul Dubey,"64,449",6.2%,Bahujan Samaj Party
1263,,,,,,
1264,Ludhiana,1,Ravneet Singh Bittu,"300,459",27.3%,Indian National Congress
1265,,2,Harvinder Singh Phoolka,"280,750",25.5%,Aam Aadmi Party
1266,,3,Manpreet Singh Ayali,"256,590",23.3%,Shiromani Akali Dal
1267,,,,,,
1268,Machhlishahr,1,Ram Charitra Nishad,"438,210",43.9%,Bharatiya Janta Party
1269,,2,Bholanath Alias B.P. Saroj,"266,055",26.7%,Bahujan Samaj Party
1270,,3,Tufani,"191,387",19.2%,Samajwadi Party
1271,,,,,,
1272,Machilipatnam,1,Konakalla Narayana Rao,"587,280",51.5%,Telugu Desam
1273,,2,Kolusu Partha Sarathy,"506,223",44.4%,Yuvajana Sramika Rythu Congress Party
1274,,3,Sistla Ramesh,"14,111",1.2%,Indian National Congress
1275,,,,,,
1276,Madha,1,Mohite Patil Vijaysinh Shankarrao,"489,989",45.4%,Nationalist Congress Party
1277,,2,Sadabhau Ramchandra Khot,"464,645",43.0%,Swabhimani Paksha
1278,,3,Mohite-Patil Pratapsinh Shankarrao,"25,187",2.3%,Independent
1279,,,,,,
1280,Madhepura,1,Rajesh Ranjan @ Pappu Yadav,"368,937",35.7%,Rashtriya Janata Dal
1281,,2,Sharad Yadav,"312,728",30.2%,Janata Dal (United)
1282,,3,Vijay Kumar Singh,"252,534",24.4%,Bharatiya Janta Party
1283,,,,,,
