,Place,Rank,Name,No.of votes,Percentage of votes,Party
874,,3,Polly Mukherjee,"37,723",3.8%,Bharatiya Janta Party
875,,,,,,
876,Hyderabad,1,Asaduddin Owaisi,"308,061",42.2%,All India Majlis-E-Ittehadul Muslimoon
877,,2,Zahid Ali Khan,"194,196",26.6%,Telugu Desam
878,,3,P. Laxman Rao Goud,"93,917",12.9%,Indian National Congress
879,,,,,,
880,Idukki,1,Adv. P.T Thomas,"408,484",51.9%,Indian National Congress
881,,2,Adv. K. Francis George,"333,688",42.4%,Kerala Congress
882,,3,Sreenagari Rajan,"28,227",3.6%,Bharatiya Janta Party
883,,,,,,
884,Indore,1,Sumitra Mahajan (Tai),"388,662",48.8%,Bharatiya Janta Party
885,,2,Satynarayan Patel,"377,182",47.3%,Indian National Congress
886,,3,Rahim Khan,"7,226",0.9%,Bahujan Samaj Party
887,,,,,,
888,Inner Manipur,1,Dr. Thokchom Meinya,"230,876",39.6%,Indian National Congress
889,,2,Moirangthem Nara,"199,916",34.3%,Communist Party Of India
890,,3,Thounaojam Chaoba,"101,787",17.4%,Manipur Peoples Party
891,,,,,,
892,Jabalpur,1,Rakesh Singh,"343,922",54.3%,Bharatiya Janta Party
893,,2,Advocate Rameshwar Neekhra,"237,919",37.6%,Indian National Congress
894,,3,Aziz Qureshi,"21,080",3.3%,Bahujan Samaj Party
895,,,,,,
896,Jadavpur,1,Kabir Suman,"540,667",49.8%,All India Trinamool Congress
897,,2,Sujan Chakraborty,"484,400",44.6%,Communist Party Of India (MARXIST)
898,,3,Sanat Bhattacharya,"25,331",2.3%,Bharatiya Janta Party
899,,,,,,
900,Jagatsinghpur,1,Bibhu Prasad Tarai,"457,234",46.5%,Communist Party Of India
901,,2,Rabindra Kumar Sethy,"380,499",38.7%,Indian National Congress
902,,3,Baidhar Mallick,"99,100",10.1%,Bharatiya Janta Party
903,,,,,,
904,Jahanabad,1,Jagdish Sharma,"234,769",39.2%,Janata Dal (United)
905,,2,Surendra Prasad Yadav,"213,442",35.6%,Rashtriya Janata Dal
906,,3,Dr. Arun Kumar,"48,487",8.1%,Indian National Congress
907,,,,,,
908,Jaipur,1,Mahesh Joshi,"397,438",48.9%,Indian National Congress
909,,2,Ghanshyam Tiwari,"381,339",46.9%,Bharatiya Janta Party
910,,3,Vijay Peshwani,"6,591",0.8%,Bahujan Samaj Party
911,,,,,,
912,Jaipur Rural,1,Lal Chand Kataria,"278,266",40.5%,Indian National Congress
913,,2,Rao Rajendra Singh,"226,029",32.9%,Bharatiya Janta Party
914,,3,Sukhveer Singh Jaunapuria,"127,664",18.6%,Independent
915,,,,,,
916,Jajpur,1,Mohan Jena,"433,350",53.0%,Biju Janata Dal
917,,2,Amiya Kanta Mallik,"305,603",37.4%,Indian National Congress
918,,3,Parameswar Sethi,"48,890",6.0%,Bharatiya Janta Party
919,,,,,,
920,Jalandhar,1,Mohinder Singh Kaypee,"408,103",45.4%,Indian National Congress
921,,2,Hans Raj Hans,"371,658",41.3%,Shiromani Akali Dal
922,,3,Surjit Singh,"93,592",10.4%,Bahujan Samaj Party
923,,,,,,
924,Jalaun,1,Ghansyam Anuragi,"283,023",35.5%,Samajwadi Party
925,,2,Tilak Chandra Ahirwar,"271,614",34.1%,Bahujan Samaj Party
926,,3,Bhanu Pratap Singh Verma,"131,259",16.5%,Bharatiya Janta Party
927,,,,,,
928,Jalgaon,1,A.T. Nana Patil,"343,647",52.3%,Bharatiya Janta Party
929,,2,Adv. Vasantrao Jivanrao More,"247,627",37.7%,Nationalist Congress Party
930,,3,Wagh Sudhakar Atmaram,"19,206",2.9%,Independent
931,,,,,,
932,Jalna,1,Danve Raosaheb Dadarao Patil,"350,710",44.0%,Bharatiya Janta Party
933,,2,Dr. Kale Kalyan Vaijinathrao,"342,228",42.9%,Indian National Congress
934,,3,Rathod Rajpalsinh Gabrusinh,"35,976",4.5%,Bahujan Samaj Party
935,,,,,,
936,Jalore,1,Devji Patel,"194,503",33.7%,Bharatiya Janta Party
937,,2,Buta Singh,"144,698",25.0%,Independent
938,,3,Sandhya Choudhary,"113,332",19.6%,Indian National Congress
939,,,,,,
940,Jalpaiguri,1,Mahendra Kumar Roy,"469,613",45.5%,Communist Party Of India (MARXIST)
941,,2,Barma Sukhbilas,"381,242",36.9%,Indian National Congress
942,,3,Dwipendra Nath Pramanik,"94,373",9.1%,Bharatiya Janta Party
943,,,,,,
944,Jammu,1,Madan Lal Sharma,"382,305",45.4%,Indian National Congress
945,,2,Lila Karan Sharma,"260,932",31.0%,Bharatiya Janta Party
946,,3,S.Tarlok Singh,"93,730",11.1%,Jammu &amp; Kashmir Peoples Democratic Party
947,,,,,,
948,Jamnagar,1,Ahir Vikrambhai Arjanbhai Madam,"281,410",47.3%,Indian National Congress
949,,2,Mungra Rameshbhai Devrajbhai,"254,992",42.9%,Bharatiya Janta Party
950,,3,Chavda Jaysukhbhai Trikambhai,"11,967",2.0%,Bahujan Samaj Party
951,,,,,,
952,Jamshedpur,1,Arjun Munda,"319,620",45.3%,Bharatiya Janta Party
953,,2,Suman Mahato,"199,957",28.3%,Jharkhand Mukti Morcha
954,,3,Arvind Kumar Singh,"79,089",11.2%,Jharkhand Vikas Morcha (Prajatantrik)
955,,,,,,
956,Jamui,1,Bhudeo Choudhary,"178,560",33.4%,Janata Dal (United)
957,,2,Shyam Rajak,"148,763",27.8%,Rashtriya Janata Dal
958,,3,Ashok Choudhary,"71,267",13.3%,Indian National Congress
959,,,,,,
960,Jangipur,1,Pranab Mukherjee,"506,749",54.2%,Indian National Congress
961,,2,Mriganka Sekhar Bhattacharya,"378,600",40.5%,Communist Party Of India (MARXIST)
962,,3,Debashish Majumdar,"21,791",2.3%,Bharatiya Janta Party
963,,,,,,
964,Janjgir-Champa,1,Shrimati Kamla Devi Patle,"302,142",41.0%,Bharatiya Janta Party
965,,2,Dr.Shivkumar Dahariya,"214,931",29.1%,Indian National Congress
966,,3,Dauram Ratnakar,"175,979",23.9%,Bahujan Samaj Party
967,,,,,,
968,Jaunpur,1,Dhananjay Singh,"302,618",39.6%,Bahujan Samaj Party
969,,2,Paras Nath Yadava,"222,267",29.1%,Samajwadi Party
970,,3,Seema,"143,377",18.8%,Bharatiya Janta Party
971,,,,,,
972,Jhalawar-Baran,1,Dushyant Singh,"429,096",49.2%,Bharatiya Janta Party
973,,2,"Urmila Jain ""bhaya""","376,255",43.1%,Indian National Congress
974,,3,Abdul Qayyum Siddiqui,"16,357",1.9%,Bahujan Samaj Party
975,,,,,,
976,Jhanjharpur,1,Mangani Lal Mandal,"265,175",43.6%,Janata Dal (United)
977,,2,Devendra Prasad Yadav,"192,466",31.7%,Rashtriya Janata Dal
978,,3,Kripanath Pathak,"86,228",14.2%,Indian National Congress
979,,,,,,
980,Jhansi,1,Pradeep Kumar Jain (Aditya),"252,712",29.3%,Indian National Congress
981,,2,Ramesh Kumar Sharma,"205,042",23.8%,Bahujan Samaj Party
982,,3,Chandrpal Singh Yadav,"132,076",15.3%,Samajwadi Party
983,,,,,,
984,Jhargram,1,Pulin Bihari Baske,"545,231",56.9%,Communist Party Of India (MARXIST)
985,,2,Amrit Hansda,"252,886",26.4%,Indian National Congress
986,,3,Chunibala Hansda,"48,175",5.0%,Jharkhand Party (NOREN)
987,,,,,,
988,Jhunjhunu,1,Sheesh Ram Ola,"306,330",50.8%,Indian National Congress
989,,2,Dr Dasrath Singh Shekhawat,"240,998",39.9%,Bharatiya Janta Party
990,,3,Khatri Mustaq,"21,994",3.6%,Bahujan Samaj Party
991,,,,,,
992,Jodhpur,1,Chandresh Kumari,"361,577",52.8%,Indian National Congress
993,,2,Jaswant Singh Bisnoi,"263,248",38.5%,Bharatiya Janta Party
994,,3,Raju Ram,"23,320",3.4%,Bahujan Samaj Party
995,,,,,,
996,Jorhat,1,Bijoy Krishna Handique,"362,320",47.4%,Indian National Congress
997,,2,Kamakhya Tasa,"290,406",38.0%,Bharatiya Janta Party
998,,3,Drupad Borgohain,"74,185",9.7%,Communist Party Of India
999,,,,,,
1000,Joynagar,1,Dr. Tarun Mondal,"446,200",48.7%,Independent
1001,,2,Nimai Barman,"392,495",42.9%,Revolutionary Socialist Party
1002,,3,Nirode Chandra Halder,"24,608",2.7%,Bharatiya Janta Party
1003,,,,,,
1004,Junagadh,1,Solanki Dinubhai Boghabhai,"355,335",46.7%,Bharatiya Janta Party
1005,,2,Barad Jashubhai Dhanabhai,"341,576",44.9%,Indian National Congress
1006,,3,Harilal Ranchhodbhai Chauhan,"23,290",3.1%,Independent
1007,,,,,,
1008,Kachchh,1,Jat Poonamben Veljibhai,"285,300",50.6%,Bharatiya Janta Party
1009,,2,Danicha Valjibhai Punamchandra,"213,957",37.9%,Indian National Congress
1010,,3,Vanzara Hiraben Dalpatbhai,"15,881",2.8%,Independent
1011,,,,,,
1012,Kadapa,1,Y.S. Jagan Mohan Reddy,"542,611",52.6%,Indian National Congress
1013,,2,Palem Srikanth Reddy,"363,765",35.3%,Telugu Desam
1014,,3,Dr. Khaleel Basha,"63,309",6.1%,Praja Rajyam Party
1015,,,,,,
1016,Kairana,1,Tabassum Begum,"283,259",39.1%,Bahujan Samaj Party
1017,,2,Hukum Singh,"260,796",36.0%,Bharatiya Janta Party
1018,,3,Shajan Masood,"124,802",17.2%,Samajwadi Party
1019,,,,,,
1020,Kaiserganj,1,Brijbhushan Sharan Singh,"196,063",34.7%,Samajwadi Party
1021,,2,Surendra Nath Awasthi,"123,864",21.9%,Bahujan Samaj Party
1022,,3,Dr Lalta Prasad Mishra Alias Dr L P Mishra,"120,561",21.3%,Bharatiya Janta Party
1023,,,,,,
1024,Kakinada,1,M.M.Pallamraju,"323,607",33.4%,Indian National Congress
1025,,2,Chalamalasetty Sunil,"289,563",29.9%,Praja Rajyam Party
1026,,3,Vasamsetty Satya,"258,046",26.7%,Telugu Desam
1027,,,,,,
1028,Kalahandi,1,Bhakta Charan Das,"401,736",41.0%,Indian National Congress
1029,,2,Subash Chandra Nayak,"247,699",25.3%,Biju Janata Dal
1030,,3,Bikram Keshari Deo,"221,851",22.6%,Bharatiya Janta Party
1031,,,,,,
1032,Kaliabor,1,Dip Gogoi,"434,676",45.2%,Indian National Congress
1033,,2,Gunin Hazarika,"282,687",29.4%,Asom Gana Parisad
1034,,3,Siraj Uddin Ajmal,"198,983",20.7%,Assam United Democratic Front
1035,,,,,,
1036,Kallakurichi,1,Sankar Adhi,"363,601",42.4%,Dravida Munetra Kazhagam
1037,,2,Senthilkumar K,"6,030",0.7%,Bahujan Samaj Party
1038,,3,Dhanaraju K,"254,993",29.7%,Pattali Makkal Katchi
1039,,,,,,
1040,Kalyan,1,Anand Prakash Paranjape,"212,476",39.0%,Shiv Sena
1041,,2,Davkhare Vasant Shankarrao,"188,274",34.6%,Nationalist Congress Party
1042,,3,Vaishali Darekar-Rane,"102,063",18.7%,Maharashtra Navnirman Sena
1043,,,,,,
1044,Kancheepuram,1,Viswanathan.P,"330,237",42.0%,Indian National Congress
1045,,2,Ramakrishnan.Dr.E,"317,134",40.3%,All India Anna Dravida Munnetra Kazhagam
1046,,3,Tamilvendan.T,"103,560",13.2%,Desiya Murpokku Dravida Kazhagam
1047,,,,,,
1048,Kandhamal,1,Rudramadhab Ray,"315,314",44.5%,Biju Janata Dal
1049,,2,Suzit Kumar Padhi,"164,307",23.2%,Indian National Congress
1050,,3,Ashok Sahu,"147,020",20.8%,Bharatiya Janta Party
1051,,,,,,
1052,Kangra,1,Dr. Rajan Sushant,"322,254",48.7%,Bharatiya Janta Party
1053,,2,Chandar Kumar,"301,475",45.5%,Indian National Congress
1054,,3,Col.Narinder Singh Pathania,"12,745",1.9%,Bahujan Samaj Party
1055,,,,,,
1056,Kanker,1,Sohan Potai,"341,131",46.0%,Bharatiya Janta Party
1057,,2,Smt. Phoolo Devi Netam,"321,843",43.4%,Indian National Congress
1058,,3,Mayaram Netam (Fulsingh Siladar),"21,022",2.8%,Independent
1059,,,,,,
1060,Kannauj,1,Akhilesh Yadav,"337,751",45.5%,Samajwadi Party
1061,,2,Dr. Mahesh Chandra Verma,"221,887",29.9%,Bahujan Samaj Party
1062,,3,Subrat Pathak,"150,872",20.3%,Bharatiya Janta Party
1063,,,,,,
1064,Kanniyakumari,1,Helen Davidson J,"320,161",41.8%,Dravida Munetra Kazhagam
1065,,2,Radhakrishnan P,"254,474",33.2%,Bharatiya Janta Party
1066,,3,Bellarmin Av,"85,583",11.2%,Communist Party Of India (MARXIST)
1067,,,,,,
1068,Kannur,1,K. Sudhakaran,"432,878",49.9%,Indian National Congress
1069,,2,K.K Ragesh,"389,727",44.9%,Communist Party Of India (MARXIST)
1070,,3,P.P Karunakaran Master,"27,123",3.1%,Bharatiya Janta Party
1071,,,,,,
1072,Kanpur,1,Sri Prakash Jaiswal,"214,988",41.9%,Indian National Congress
1073,,2,Satish Mahana,"196,082",38.2%,Bharatiya Janta Party
1074,,3,Sukhda Mishra,"48,374",9.4%,Bahujan Samaj Party
1075,,,,,,
1076,Kanthi,1,Adhikari Sisir Kumar,"606,712",53.9%,All India Trinamool Congress
1077,,2,Prasanta Pradhan,"477,609",42.5%,Communist Party Of India (MARXIST)
1078,,3,Amalesh Mishra,"31,952",2.8%,Bharatiya Janta Party
1079,,,,,,
1080,Karakat,1,Mahabali Singh,"196,946",34.1%,Janata Dal (United)
1081,,2,Kanti Singh,"176,463",30.6%,Rashtriya Janata Dal
1082,,3,Awadhesh Kumar Singh,"71,057",12.3%,Indian National Congress
1083,,,,,,
1084,Karauli-Dholpur,1,Khiladi Lal Bairwa,"215,810",44.3%,Indian National Congress
1085,,2,Dr Manoj Rajoria,"186,087",38.2%,Bharatiya Janta Party
1086,,3,Hattiram,"39,881",8.2%,Bahujan Samaj Party
1087,,,,,,
1088,Karimganj,1,Lalit Mohan Suklabaidya,"259,717",37.9%,Indian National Congress
1089,,2,Rajesh Mallah,"251,797",36.7%,Assam United Democratic Front
1090,,3,Sudhangshu Das,"148,945",21.7%,Bharatiya Janta Party
1091,,,,,,
1092,Karimnagar,1,Ponnam Prabhakar,"317,927",32.1%,Indian National Congress
1093,,2,Vinod Kumar Boinapally,"267,684",27.0%,Telangana Rashtra Samithi
1094,,3,Velichala Rajender Rao,"175,582",17.7%,Praja Rajyam Party
1095,,,,,,
1096,Karnal,1,Arvind Kumar Sharma,"304,698",37.6%,Indian National Congress
1097,,2,Maratha Virender Verma,"228,352",28.2%,Bahujan Samaj Party
1098,,3,I.D.Swami,"185,437",22.9%,Bharatiya Janta Party
1099,,,,,,
1100,Karur,1,Thambidurai.M,"380,542",46.1%,All India Anna Dravida Munnetra Kazhagam
1101,,2,Pallanishamy. K.C.,"333,288",40.4%,Dravida Munetra Kazhagam
1102,,3,Ramanathan.R,"51,196",6.2%,Desiya Murpokku Dravida Kazhagam
1103,,,,,,
1104,Kasaragod,1,P Karunakaran,"385,522",45.5%,Communist Party Of India (MARXIST)
1105,,2,Shahida Kamal,"321,095",37.9%,Indian National Congress
1106,,3,K. Surendran,"125,482",14.8%,Bharatiya Janta Party
1107,,,,,,
1108,Katihar,1,Nikhil Kumar Choudhary,"269,834",37.2%,Bharatiya Janta Party
1109,,2,Shah Tariq Anwar,"255,819",35.3%,Nationalist Congress Party
1110,,3,Ahmad Ashfaque Karim,"45,773",6.3%,Lok Jan Shakti Party
1111,,,,,,
1112,Kaushambi,1,Shailendra Kumar,"246,501",44.7%,Samajwadi Party
1113,,2,Girish Chandra Pasi,"190,712",34.6%,Bahujan Samaj Party
1114,,3,Ram Nihor Rakesh,"40,765",7.4%,Indian National Congress
1115,,,,,,
1116,Kendrapara,1,Baijayant Panda,"502,635",51.1%,Biju Janata Dal
1117,,2,Ranjib Biswal,"375,528",38.2%,Indian National Congress
1118,,3,Jnandev Beura,"80,392",8.2%,Bharatiya Janta Party
1119,,,,,,
1120,Keonjhar,1,Yashbant Narayan Singh Laguri,"389,104",43.6%,Biju Janata Dal
1121,,2,Dhanurjaya Sidu,"262,620",29.4%,Indian National Congress
1122,,3,Ananta Nayak,"164,023",18.4%,Bharatiya Janta Party
1123,,,,,,
1124,Khadoor Sahib,1,Dr. Rattan Singh Ajnala,"467,980",49.4%,Shiromani Akali Dal
1125,,2,Rana Gurjeet Singh,"435,720",46.0%,Indian National Congress
1126,,3,Surinder Singh Shahi,"13,333",1.4%,Bahujan Samaj Party
1127,,,,,,
1128,Khagaria,1,Dinesh Chandra Yadav,"266,964",42.7%,Janata Dal (United)
1129,,2,Ravindar Kr. Rana,"128,209",20.5%,Rashtriya Janata Dal
1130,,3,Choudhary Mehboob Ali Kaiser,"127,495",20.4%,Indian National Congress
1131,,,,,,
1132,Khajuraho,1,Jeetendra Singh Bundela,"229,369",39.3%,Bharatiya Janta Party
1133,,2,Raja Paterya,"201,037",34.5%,Indian National Congress
1134,,3,Sewa Lal Patel,"77,107",13.2%,Bahujan Samaj Party
1135,,,,,,
1136,Khammam,1,Nama Nageswara Rao,"469,368",45.2%,Telugu Desam
1137,,2,Renuka Chowdhury,"344,920",33.2%,Indian National Congress
1138,,3,Jalagam Hemamalini,"131,135",12.6%,Praja Rajyam Party
1139,,,,,,
1140,Khandwa,1,Arun Subhashchandra Yadav,"394,241",48.5%,Indian National Congress
1141,,2,Nandkumar Singh Chauhan (Nandu Bhaiya),"345,160",42.4%,Bharatiya Janta Party
1142,,3,Baba Abdul Hameed,"23,716",2.9%,Independent
1143,,,,,,
1144,Khargone,1,Makansingh Solanki (Babuji),"351,296",46.2%,Bharatiya Janta Party
1145,,2,Balaram Bachchan,"317,121",41.7%,Indian National Congress
1146,,3,Bhai Kiransingh Badole (Kiresh),"31,905",4.2%,Communist Party Of India
1147,,,,,,
1148,Kheda,1,Dinsha Patel,"284,004",47.1%,Indian National Congress
1149,,2,Chauhan Devusinh Jesingbhai,"283,158",47.0%,Bharatiya Janta Party
1150,,3,Shekh Taufikhusen Gulamrasul,"13,840",2.3%,Independent
1151,,,,,,
1152,Kheri,1,Zafar Ali Naqvi,"184,982",26.1%,Indian National Congress
1153,,2,Iliyas Azmi,"176,205",24.9%,Bahujan Samaj Party
1154,,3,Ajay Kumar,"162,850",23.0%,Bharatiya Janta Party
1155,,,,,,
1156,Khunti,1,Karia Munda,"210,214",41.2%,Bharatiya Janta Party
1157,,2,Neil Tirkey,"130,039",25.5%,Indian National Congress
1158,,3,Nishikant Horo,"84,025",16.5%,Jharkhand Party
1159,,,,,,
1160,Kishanganj,1,Mohammad Asrarul Haque,"239,405",38.2%,Indian National Congress
1161,,2,Syed Mahmood Ashraf,"159,136",25.4%,Janata Dal (United)
1162,,3,Tasleem Uddin,"124,182",19.8%,Rashtriya Janata Dal
1163,,,,,,
1164,Kodarma,1,Babulal Marandi,"199,462",25.6%,Jharkhand Vikas Morcha (Prajatantrik)
1165,,2,Raj Kumar Yadav,"150,942",19.3%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
1166,,3,Laxaman Sawarnkar,"115,145",14.8%,Bharatiya Janta Party
1167,,,,,,
1168,Kokrajhar,1,Sansuma Khunggur Bwiswmuthiary,"495,211",48.8%,Bodaland Peoples Front
1169,,2,Urkhao Gwra Brahma,"304,889",30.0%,Independent
1170,,3,Sabda Ram Rabha,"214,684",21.2%,Asom Gana Parisad
1171,,,,,,
1172,Kolar,1,K.H.Muniyappa,"344,771",37.1%,Indian National Congress
1173,,2,D.S.Veeraiah,"321,765",34.7%,Bharatiya Janta Party
1174,,3,G.Chandranna,"199,896",21.5%,Janata Dal (Secular)
1175,,,,,,
1176,Kolhapur,1,Sadashivrao Dadoba Mandlik,"428,082",41.6%,Independent
1177,,2,Chhatrapati Sambhajiraje Shahu,"383,282",37.2%,Nationalist Congress Party
1178,,3,Devane Vijay Shamrao,"172,822",16.8%,Shiv Sena
1179,,,,,,
1180,Kolkata Dakshin,1,Mamata Banerjee,"576,045",57.1%,All India Trinamool Congress
1181,,2,Rabin Deb,"356,474",35.4%,Communist Party Of India (MARXIST)
1182,,3,Jyotsna Banerjee,"39,744",3.9%,Bharatiya Janta Party
1183,,,,,,
1184,Kolkata Uttar,1,Sudip Bandyopadhyay,"460,646",52.4%,All India Trinamool Congress
1185,,2,Md. Salim,"351,368",40.0%,Communist Party Of India (MARXIST)
1186,,3,Tathagata Roy,"37,044",4.2%,Bharatiya Janta Party
1187,,,,,,
1188,Kollam,1,N.Peethambarakurup,"357,401",47.3%,Indian National Congress
1189,,2,P.Rajendran,"339,870",45.0%,Communist Party Of India (MARXIST)
1190,,3,Vayakkal Madhu,"33,078",4.4%,Bharatiya Janta Party
1191,,,,,,
1192,Koppal,1,Shivaramagouda Shivanagouda,"291,693",38.6%,Bharatiya Janta Party
1193,,2,Basavaraj Rayareddy,"209,904",27.8%,Indian National Congress
1194,,3,Ansari Iqbal,"180,380",23.9%,Janata Dal (Secular)
1195,,,,,,
1196,Koraput,1,Jayaram Pangi,"312,776",41.2%,Biju Janata Dal
1197,,2,Giridhar Gamang,"216,416",28.5%,Indian National Congress
1198,,3,Upendra Majhi,"111,690",14.7%,Bharatiya Janta Party
1199,,,,,,
1200,Korba,1,Charan Das Mahant,"314,616",42.2%,Indian National Congress
1201,,2,Karuna Shukla,"293,879",39.4%,Bharatiya Janta Party
1202,,3,Hira Singh Markaam,"32,962",4.4%,Gondvana Gantantra Party
1203,,,,,,
1204,Kota,1,Ijyaraj Singh,"360,486",52.8%,Indian National Congress
1205,,2,Shyam Sharma,"277,393",40.7%,Bharatiya Janta Party
1206,,3,Dr. K. Shringi,"14,323",2.1%,Independent
1207,,,,,,
1208,Kottayam,1,Jose K.Mani (Karingozheckal),"404,962",50.0%,Kerala Congress(M)
1209,,2,Adv. Suresh Kurup,"333,392",41.2%,Communist Party Of India (MARXIST)
1210,,3,Adv. Narayanan Namboothiri,"37,422",4.6%,Bharatiya Janta Party
1211,,,,,,
1212,Kozhikode,1,M.K. Raghavan,"342,309",42.8%,Indian National Congress
1213,,2,Adv. P.A. Mohamed Riyas,"341,471",42.7%,Communist Party Of India (MARXIST)
1214,,3,V. Muraleedharan,"89,718",11.2%,Bharatiya Janta Party
1215,,,,,,
1216,Krishnagiri,1,Sugavanam. E.G.,"335,977",44.6%,Dravida Munetra Kazhagam
1217,,2,Nanjegowdu. K.,"259,379",34.5%,All India Anna Dravida Munnetra Kazhagam
1218,,3,Anbarasan. D.,"97,546",13.0%,Desiya Murpokku Dravida Kazhagam
1219,,,,,,
1220,Krishnanagar,1,Tapas Paul,"443,679",42.4%,All India Trinamool Congress
1221,,2,Jyotirmoyee Sikdar,"366,293",35.0%,Communist Party Of India (MARXIST)
1222,,3,Satya Brata Mookherjee,"175,283",16.7%,Bharatiya Janta Party
1223,,,,,,
1224,Kurnool,1,Kotla Jaya Surya Prakash Reddy,"382,668",43.8%,Indian National Congress
1225,,2,B.T.Naidu,"308,895",35.4%,Telugu Desam
1226,,3,Dr.Dandiya Khaja Peera,"114,803",13.1%,Praja Rajyam Party
1227,,,,,,
1228,Kurukshetra,1,Naveen Jindal,"397,204",45.4%,Indian National Congress
1229,,2,Ashok Kumar Arora,"278,475",31.8%,Indian National Lok Dal
1230,,3,Gurdyal Singh Saini,"151,231",17.3%,Bahujan Samaj Party
1231,,,,,,
1232,Kushi Nagar,1,Ku. Ratanjeet Pratap Narayan Singh,"223,954",30.6%,Indian National Congress
1233,,2,Swami Prasad Maurya,"202,860",27.7%,Bahujan Samaj Party
1234,,3,Vijay Dubey,"162,189",22.2%,Bharatiya Janta Party
1235,,,,,,
1236,Ladakh,1,Hassan Khan,"32,701",29.5%,Independent
1237,,2,Phuntsog Namgyal,"29,017",26.1%,Indian National Congress
1238,,3,Asgar Ali Karbalaie,"24,498",22.1%,Independent
1239,,,,,,
1240,Lakhimpur,1,Ranee Narah,"352,330",38.7%,Indian National Congress
1241,,2,Dr. Arun Kr. Sarma,"307,758",33.8%,Asom Gana Parisad
1242,,3,Ranoj Pegu,"147,586",16.2%,Independent
1243,,,,,,
1244,Lakshadweep,1,Hamdullah Sayeed,"20,492",51.9%,Indian National Congress
1245,,2,Dr. Pookunhikoya,"18,294",46.3%,Nationalist Congress Party
1246,,3,M.K. Lukmanul Hakeem,467,1.2%,Communist Party Of India (MARXIST)
1247,,,,,,
1248,Lalganj,1,Dr. Baliram,"207,998",31.6%,Bahujan Samaj Party
1249,,2,Neelam Sonkar,"168,050",25.5%,Bharatiya Janta Party
1250,,3,Daroga Prasad Saroj,"147,182",22.3%,Samajwadi Party
1251,,,,,,
1252,Latur,1,Awale Jaywant Gangaram,"372,890",44.9%,Indian National Congress
1253,,2,Gaikwad Sunil Baliram,"364,915",44.0%,Bharatiya Janta Party
1254,,3,Adv. Babasaheb Sadashivrao Gaikwad,"34,033",4.1%,Bahujan Samaj Party
1255,,,,,,
1256,Lohardaga,1,Sudarshan Bhagat,"144,628",27.7%,Bharatiya Janta Party
1257,,2,Chamra Linda,"136,345",26.1%,Independent
1258,,3,Rameshwar Oraon,"129,622",24.8%,Indian National Congress
1259,,,,,,
1260,Lucknow,1,Lal Ji Tandon,"204,028",34.7%,Bharatiya Janta Party
1261,,2,Rita Bahuguna Joshi,"163,127",27.8%,Indian National Congress
1262,,3,Dr. Akhilesh Das Gupta,"133,610",22.7%,Bahujan Samaj Party
1263,,,,,,
1264,Ludhiana,1,Manish Tewari,"449,264",53.1%,Indian National Congress
1265,,2,Gurcharan Singh Galib,"335,558",39.7%,Shiromani Akali Dal
1266,,3,Kehar Singh,"32,660",3.9%,Bahujan Samaj Party
1267,,,,,,
1268,Machhlishahr,1,Tufani Saroj,"223,152",31.1%,Samajwadi Party
1269,,2,Kamla Kant Gautam (K.K. Gautam),"198,846",27.7%,Bahujan Samaj Party
1270,,3,Vidyasagar Sonker,"146,031",20.3%,Bharatiya Janta Party
1271,,,,,,
1272,Machilipatnam,1,Konakalla Narayana Rao,"409,936",39.0%,Telugu Desam
1273,,2,Badiga Ramakrishna,"397,480",37.8%,Indian National Congress
1274,,3,Chennamsetti Ramachandraiah,"186,921",17.8%,Praja Rajyam Party
1275,,,,,,
1276,Madha,1,Pawar Sharadchandra Govindrao,"530,596",57.7%,Nationalist Congress Party
1277,,2,Deshmukh Subhash Sureshchandra,"216,137",23.5%,Bharatiya Janta Party
1278,,3,Mahadeo Jagannath Jankar,"98,946",10.8%,Rashtriya Samaj Paksha
1279,,,,,,
1280,Madhepura,1,Sharad Yadav,"370,585",49.0%,Janata Dal (United)
1281,,2,Prof. Ravindra Charan Yadav,"192,964",25.5%,Rashtriya Janata Dal
1282,,3,Dr.Tara Nand Sada,"67,803",9.0%,Indian National Congress
1283,,,,,,
1284,Madhubani,1,Hukmadeo Narayan Yadav,"164,094",29.5%,Bharatiya Janta Party
1285,,2,Abdulbari Siddiki,"154,167",27.7%,Rashtriya Janata Dal
1286,,3,Dr. Shakeel Ahamad,"111,423",20.0%,Indian National Congress
1287,,,,,,
1288,Madurai,1,Alagiri M.K,"431,295",54.5%,Dravida Munetra Kazhagam
1289,,2,Mohan P,"290,310",36.7%,Communist Party Of India (MARXIST)
1290,,3,Kaviarasu K,"54,419",6.9%,Desiya Murpokku Dravida Kazhagam
1291,,,,,,
1292,Mahabubabad,1,P. Balram,"394,447",39.6%,Indian National Congress
1293,,2,Kunja Srinivasa Rao,"325,490",32.7%,Communist Party Of India
1294,,3,D.T. Naik,"145,299",14.6%,Praja Rajyam Party
1295,,,,,,
1296,Maharajganj,1,Harsh Vardhan,"305,474",51.0%,Indian National Congress
1297,,2,Ganesh Shanker Pandey,"181,846",30.3%,Bahujan Samaj Party
1298,,3,Pankaj Chaudhary,"173,041",28.9%,Bharatiya Janta Party
1299,,,,,,
