,Name,No.of votes,Percentage of votes,Party
781,Anand Prakash Paranjpe,"190,143",23.1%,Nationalist Congress Party
782,Pramod (RAJU) RATAN PATIL,"122,349",14.8%,Maharashtra Navnirman Sena
783,Maragatham K,"499,395",44.3%,All India Anna Dravida Munnetra Kazhagam
784,Selvam G,"352,529",31.2%,Dravida Munetra Kazhagam
785,Sathya C.E.,"207,080",18.4%,Marumalarchi Dravida Munnetra Kazhagam
786,Hemendra Chandra Singh,"421,458",50.2%,Biju Janata Dal
787,Harihar Karan,"240,441",28.6%,Indian National Congress
788,Sukanta Kumar Panigrahi,"108,744",13.0%,Bharatiya Janta Party
789,Shanta Kumar,"456,163",57.1%,Bharatiya Janta Party
790,Chander Kumar,"286,091",35.8%,Indian National Congress
791,Dr. Rajan Sushant,"24,430",3.1%,Aam Aadmi Party
792,Vikram Dev Usendi,"465,215",45.7%,Bharatiya Janta Party
793,Foolodevi Netam,"430,057",42.3%,Indian National Congress
794,Ramesh Kumar Gawde,"23,482",2.3%,Communist Party Of India
795,Dimple Yadav,"489,164",43.9%,Samajwadi Party
796,Subrat Pathak,"469,257",42.1%,Bharatiya Janta Party
797,Nirmal Tiwari,"127,785",11.5%,Bahujan Samaj Party
798,Radhakrishnan P.,"372,906",37.6%,Bharatiya Janta Party
799,Vasantha Kumar H.,"244,244",24.7%,Indian National Congress
800,John Thankam D.,"176,239",17.8%,All India Anna Dravida Munnetra Kazhagam
801,P K Sreemathi Teacher,"427,622",45.1%,Communist Party Of India (MARXIST)
802,K Sudhakaran,"421,056",44.5%,Indian National Congress
803,P C Mohanan Master,"51,636",5.5%,Bharatiya Janta Party
804,Dr.Murli Manohar Joshi,"474,712",56.8%,Bharatiya Janta Party
805,Sriprakash Jaiswal,"251,766",30.1%,Indian National Congress
806,Saleem Ahmad,"53,218",6.4%,Bahujan Samaj Party
807,Adhikari Sisir Kumar,"676,749",52.4%,All India Trinamool Congress
808,Sinha Tapas,"447,259",34.6%,Communist Party Of India (MARXIST)
809,Kamalendu Pahari,"111,082",8.6%,Bharatiya Janta Party
810,Upendra Kushwaha,"338,892",42.9%,Rashtriya Lok Samta Party
811,Kanti Singh,"233,651",29.6%,Rashtriya Janata Dal
812,Mahabali Singh,"76,709",9.7%,Janata Dal (United)
813,Manoj Rajoria,"402,407",47.6%,Bharatiya Janta Party
814,Lakkhiram,"375,191",44.4%,Indian National Congress
815,G.R.Barua,"25,150",3.0%,Bahujan Samaj Party
816,Radheshyam Biswas,"362,866",40.9%,All India United Democratic Front
817,Krishna Das,"260,772",29.4%,Bharatiya Janta Party
818,Lalit Mohon Suklabaidya,"226,562",25.5%,Indian National Congress
819,Vinod Kumar Boinapally,"505,783",44.9%,Telangana Rashtra Samithi
820,Ponnam Prabhakar,"300,706",26.7%,Indian National Congress
821,Chennamaneni Vidya Sagar Rao,"214,828",19.1%,Bharatiya Janta Party
822,Ashwini Kumar,"594,817",49.8%,Bharatiya Janta Party
823,Arvind Kumar Sharma,"234,670",19.7%,Indian National Congress
824,Jaswinder Singh Sandhu,"187,902",15.7%,Indian National Lok Dal
825,"Thambidurai,m.","540,722",51.7%,All India Anna Dravida Munnetra Kazhagam
826,"Chinnasamy, M.","345,475",33.0%,Dravida Munetra Kazhagam
827,"Krishnan, N.S.","76,560",7.3%,Desiya Murpokku Dravida Kazhagam
828,P Karunakaran,"384,964",39.5%,Communist Party Of India (MARXIST)
829,Adv. T Siddique,"378,043",38.8%,Indian National Congress
830,K Surendran,"172,826",17.7%,Bharatiya Janta Party
831,Tariq Anwar,"431,292",44.1%,Nationalist Congress Party
832,Nikhil Kumar Choudhary,"316,552",32.4%,Bharatiya Janta Party
833,Dr. Ram Prakash Mahto,"100,765",10.3%,Janata Dal (United)
834,Vinod Kumar Sonkar,"331,593",36.4%,Bharatiya Janta Party
835,Shailendra Kumar,"288,746",31.7%,Samajwadi Party
836,Suresh Pasi,"201,196",22.1%,Bahujan Samaj Party
837,Baijayant Panda,"601,574",52.7%,Biju Janata Dal
838,Dharanidhar Nayak,"392,466",34.4%,Indian National Congress
839,Bishnu Prasad Das,"118,707",10.4%,Bharatiya Janta Party
840,Sakuntala Laguri,"434,471",40.1%,Biju Janata Dal
841,Ananta Nayak,"277,154",25.6%,Bharatiya Janta Party
842,Madhaba Sardar,"190,531",17.6%,Indian National Congress
843,Ranjit Singh Brahmpura,"467,332",44.9%,Shiromani Akali Dal
844,Harminder Singh Gill,"366,763",35.2%,Indian National Congress
845,Baldeep Singh,"144,521",13.9%,Aam Aadmi Party
846,Choudhary Mahboob Ali Kaiser,"313,806",35.0%,Lok Jan Shakti Party
847,Krishna Kumari Yadav,"237,803",26.5%,Rashtriya Janata Dal
848,Dinesh Chandra Yadav,"220,316",24.6%,Janata Dal (United)
849,Nagendra Singh,"474,966",54.3%,Bharatiya Janta Party
850,Raja Pateria,"227,476",26.0%,Indian National Congress
851,Ram Lakhan Singh,"60,368",6.9%,Bahujan Samaj Party
852,Ponguleti Srinivasa Reddy,"421,957",35.7%,Yuvajana Sramika Rythu Congress Party
853,Nama Nageswara Rao,"409,983",34.7%,Telugu Desam
854,Kankanala Narayana,"187,653",15.9%,Communist Party Of India
855,Nandkumar Singh Chouhan (NANDU BHAIYA),"717,357",57.1%,Bharatiya Janta Party
856,Arun Subhash Chandra Yadav,"457,643",36.4%,Indian National Congress
857,Alok Agarwal,"16,799",1.3%,Aam Aadmi Party
858,Subhash Patel,"649,354",56.3%,Bharatiya Janta Party
859,Ramesh Patel,"391,475",34.0%,Indian National Congress
860,Kailash Awasya,"31,222",2.7%,Aam Aadmi Party
861,Chauhan Devusinh Jesingbhai (CHAUHAN DEVUSINH),"568,235",59.4%,Bharatiya Janta Party
862,Dinsha Patel,"335,334",35.1%,Indian National Congress
863,Roshan Priyavadan Shah,"7,442",0.8%,Independent
864,Ajay Kumar,"398,578",37.0%,Bharatiya Janta Party
865,Arvind Giri,"288,304",26.7%,Bahujan Samaj Party
866,Zafar Ali Naqvi,"183,940",17.1%,Indian National Congress
867,Karia Munda,"269,185",36.5%,Bharatiya Janta Party
868,Anosh Ekka,"176,937",24.0%,Jharkhand Party
869,Kali Charan Munda,"147,017",19.9%,Indian National Congress
870,Mohammad Asrarul Haque,"493,461",53.1%,Indian National Congress
871,Dr Dilip Kumar Jaiswal,"298,849",32.2%,Bharatiya Janta Party
872,Akhtarul Iman,"55,822",6.0%,Janata Dal (United)
873,Ravindra Kr. Ray,"365,410",35.7%,Bharatiya Janta Party
874,Rajkumar Yadav,"266,756",26.0%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
875,Pranav Kumar Verma,"160,638",15.7%,Jharkhand Vikas Morcha (Prajatantrik)
876,Naba Kumar Sarania (HIRA),"634,428",51.8%,Independent
877,Urkhao Gwra Brahma,"278,649",22.8%,Independent
878,Chandan Brahma,"243,759",19.9%,Bodaland Peoples Front
879,K.H.Muniyappa,"418,926",37.2%,Indian National Congress
880,Kolar Kesava,"371,076",32.9%,Janata Dal (Secular)
881,Em.Narayanaswamy,"267,322",23.7%,Bharatiya Janta Party
882,Dhananjay Bhimrao Mahadik,"607,665",48.2%,Nationalist Congress Party
883,Sanjay Sadashiv Mandalik,"574,406",45.6%,Shiv Sena
884,Sampatrao Shamrao Pawar Patil,"13,162",1.0%,Peasants And Workers Party Of India
885,Subrata Bakshi,"431,715",37.0%,All India Trinamool Congress
886,Tathagata Roy,"295,376",25.3%,Bharatiya Janta Party
887,Nandini Mukherjee,"278,414",23.8%,Communist Party Of India (MARXIST)
888,Sudip Bandyopadhyay,"343,687",36.0%,All India Trinamool Congress
889,Rahul (BISWAJIT) SINHA,"247,461",25.9%,Bharatiya Janta Party
890,Bagchi Rupa,"196,053",20.5%,Communist Party Of India (MARXIST)
891,N.K.Premachandran,"408,528",46.5%,Revolutionary Socialist Party
892,M.A. Baby,"370,879",42.2%,Communist Party Of India (MARXIST)
893,P.M. Velayudhan,"58,671",6.7%,Bharatiya Janta Party
894,Karadi Sanganna Amarappa,"486,383",48.3%,Bharatiya Janta Party
895,Basavaraj Hitnal,"453,969",45.1%,Indian National Congress
896,Syed Arif,"9,529",0.9%,Bahujan Samaj Party
897,Jhina Hikaka,"395,109",39.9%,Biju Janata Dal
898,Giridhar Gamang,"375,781",38.0%,Indian National Congress
899,Sibasankar Ulaka,"89,788",9.1%,Bharatiya Janta Party
900,Dr. Banshilal Mahto,"439,002",41.7%,Bharatiya Janta Party
901,Charan Das Mahant,"434,737",41.3%,Indian National Congress
902,Hirasingh Markam,"52,753",5.0%,Gondvana Gantantra Party
903,Om Birla,"644,822",55.8%,Bharatiya Janta Party
904,Ijyaraj Singh,"444,040",38.4%,Indian National Congress
905,Ashok Kumar Jain,"16,981",1.5%,Aam Aadmi Party
906,Jose K. Mani,"424,194",51.0%,Kerala Congress(M)
907,Adv.Mathew T. Thomas,"303,595",36.5%,Janata Dal (Secular)
908,Adv.Noble Mathew,"44,357",5.3%,Independent
909,M .K Raghavan,"397,615",42.2%,Indian National Congress
910,A.Vijayaraghavan,"380,732",40.4%,Communist Party Of India (MARXIST)
911,C K.Padmanabhan,"115,760",12.3%,Bharatiya Janta Party
912,Ashok Kumar.K,"480,491",45.0%,All India Anna Dravida Munnetra Kazhagam
913,Chinna Pillappa.P,"273,900",25.6%,Dravida Munetra Kazhagam
914,Mani.G.K,"224,963",21.1%,Pattali Makkal Katchi
915,Tapas Paul,"438,789",35.2%,All India Trinamool Congress
916,Jha Shantanu,"367,534",29.5%,Communist Party Of India (MARXIST)
917,Satya Brata Mookherjee,"329,387",26.4%,Bharatiya Janta Party
918,Butta Renuka,"472,782",44.4%,Yuvajana Sramika Rythu Congress Party
919,B.T. Naidu,"428,651",40.2%,Telugu Desam
920,Kotla Jayasuryaprakash Reddy,"116,603",10.9%,Indian National Congress
921,Raj Kumar Saini,"418,112",36.8%,Bharatiya Janta Party
922,Balbir Singh Saini,"288,376",25.4%,Indian National Lok Dal
923,Naveen Jindal,"287,722",25.3%,Indian National Congress
924,Rajesh Pandey Urf Guddu,"370,051",38.9%,Bharatiya Janta Party
925,Kunwar Ratanjit Pratap Narain Singh,"284,511",29.9%,Indian National Congress
926,Dr. Sangam Mishra,"132,881",14.0%,Bahujan Samaj Party
927,Thupstan Chhewang,"31,111",26.4%,Bharatiya Janta Party
928,Ghulam Raza,"31,075",26.3%,Independent
929,Syed Mohd Kazim,"28,234",23.9%,Independent
930,Sarbananda Sonowal,"612,543",55.1%,Bharatiya Janta Party
931,Ranee Narah,"320,405",28.8%,Indian National Congress
932,Hari Prasad Dihingia,"81,753",7.4%,Asom Gana Parisad
933,Mohammed Faizal P.P.,"21,665",50.1%,Nationalist Congress Party
934,Hamdullah Sayeed,"20,130",46.6%,Indian National Congress
935,Komalam Koya,488,1.1%,Samajwadi Party
936,Neelam Sonkar,"324,016",36.1%,Bharatiya Janta Party
937,Bechai Saroj,"260,930",29.0%,Samajwadi Party
938,Dr. Baliram,"233,971",26.0%,Bahujan Samaj Party
939,Dr. Sunil Baliram Gaikwad,"616,509",58.3%,Bharatiya Janta Party
940,Bansode Dattatray Gunderao,"363,114",34.3%,Indian National Congress
941,Kamble Deepak Arvind,"20,029",1.9%,Bahujan Samaj Party
942,Sudarshan Bhagat,"226,666",34.8%,Bharatiya Janta Party
943,Rameshwar Oraon,"220,177",33.8%,Indian National Congress
944,Chamra Linda,"118,355",18.2%,All India Trinamool Congress
945,Raj Nath Singh,"561,106",54.3%,Bharatiya Janta Party
946,Prof. Rita Bahuguna Joshi,"288,357",27.9%,Indian National Congress
947,Nakul Dubey,"64,449",6.2%,Bahujan Samaj Party
948,Ravneet Singh Bittu,"300,459",27.3%,Indian National Congress
949,Harvinder Singh Phoolka,"280,750",25.5%,Aam Aadmi Party
950,Manpreet Singh Ayali,"256,590",23.3%,Shiromani Akali Dal
951,Ram Charitra Nishad,"438,210",43.9%,Bharatiya Janta Party
952,Bholanath Alias B.P. Saroj,"266,055",26.7%,Bahujan Samaj Party
953,Tufani,"191,387",19.2%,Samajwadi Party
954,Konakalla Narayana Rao,"587,280",51.5%,Telugu Desam
955,Kolusu Partha Sarathy,"506,223",44.4%,Yuvajana Sramika Rythu Congress Party
956,Sistla Ramesh,"14,111",1.2%,Indian National Congress
957,Mohite Patil Vijaysinh Shankarrao,"489,989",45.4%,Nationalist Congress Party
958,Sadabhau Ramchandra Khot,"464,645",43.0%,Swabhimani Paksha
959,Mohite-Patil Pratapsinh Shankarrao,"25,187",2.3%,Independent
960,Rajesh Ranjan @ Pappu Yadav,"368,937",35.7%,Rashtriya Janata Dal
961,Sharad Yadav,"312,728",30.2%,Janata Dal (United)
962,Vijay Kumar Singh,"252,534",24.4%,Bharatiya Janta Party
963,Hukm Deo Narayan Yadav,"358,040",41.6%,Bharatiya Janta Party
964,Abdul Bari Siddiqui,"337,505",39.2%,Rashtriya Janata Dal
965,Prof. Ghulam Ghous,"56,392",6.6%,Janata Dal (United)
966,R.Gopalakrishnan,"454,167",46.4%,All India Anna Dravida Munnetra Kazhagam
967,V Velusamy,"256,731",26.2%,Dravida Munetra Kazhagam
968,D Sivamuthu Kumar,"147,300",15.1%,Desiya Murpokku Dravida Kazhagam
969,Prof. Azmeera Seetaram Naik,"320,569",28.5%,Telangana Rashtra Samithi
970,P. Balram,"285,577",25.4%,Indian National Congress
971,Banoth Mohanlal,"215,904",19.2%,Telugu Desam
972,Pankaj,"471,542",44.7%,Bharatiya Janta Party
973,Kashi Nath Shukla,"231,084",21.9%,Bahujan Samaj Party
974,Akhilesh,"213,974",20.3%,Samajwadi Party
975,Janardan Singh Sigriwal,"320,753",37.9%,Bharatiya Janta Party
976,Prabhu Nath Singh,"282,338",33.3%,Rashtriya Janata Dal
977,Manoranjan Singh,"149,483",17.7%,Janata Dal (United)
978,Chandu Lal Sahu (CHANDU BHAIYA),"503,514",44.5%,Bharatiya Janta Party
979,Ajit Jogi,"502,297",44.4%,Indian National Congress
980,Chandu Lal Sahu,"20,255",1.8%,Independent
981,Ap Jithender Reddy,"334,228",32.9%,Telangana Rashtra Samithi
982,Jaipal Reddy Sudini,"331,638",32.7%,Indian National Congress
983,Dr. Janardhan Reddy Nagam,"272,791",26.9%,Bharatiya Janta Party
984,Patel Jayshreeben Kanubhai,"580,250",57.8%,Bharatiya Janta Party
985,Patel Jivabhai Ambalal,"371,359",37.0%,Indian National Congress
986,Thakor Kevalji Nathaji,"9,766",1.0%,Bahujan Samaj Party
987,Mulayam Singh Yadav,"595,918",59.6%,Samajwadi Party
988,Shatrughan Singh Chauhan,"231,252",23.1%,Bharatiya Janta Party
989,Dr. Sanghmitra Maurya,"142,833",14.3%,Bahujan Samaj Party
990,E. Ahamed,"437,723",51.3%,Indian Union Muslim League
991,P.K.Sainaba,"242,984",28.5%,Communist Party Of India (MARXIST)
992,Adv. N.Sreeprakash,"64,705",7.6%,Bharatiya Janta Party
993,Abu Hasem Khan Chowdhury,"380,291",34.8%,Indian National Congress
994,Bisnu Pada Roy,"216,180",19.8%,Bharatiya Janta Party
995,Abul Hasnat Khan,"209,480",19.2%,Communist Party Of India (MARXIST)
996,Mausam Noor,"388,609",33.4%,Indian National Congress
997,Khagen Murmu,"322,904",27.8%,Communist Party Of India (MARXIST)
998,Soumitra Ray,"197,313",17.0%,All India Trinamool Congress
999,Ch.Malla Reddy,"523,336",32.3%,Telugu Desam
1000,Hanumanth Rao Mynampally,"494,965",30.5%,Telangana Rashtra Samithi
1001,Sarvey Sathyanarayana,"233,711",14.4%,Indian National Congress
1002,Ram Swaroop Sharma,"362,824",50.0%,Bharatiya Janta Party
1003,Pratibha Singh,"322,968",44.5%,Indian National Congress
1004,Kushal Bhardwaj,"13,965",1.9%,Communist Party Of India (MARXIST)
1005,Faggan Singh Kulaste,"585,720",48.1%,Bharatiya Janta Party
1006,Omkar Singh Markam,"475,251",39.0%,Indian National Congress
1007,Anuj Ganga Singh Patta,"56,572",4.6%,Gondvana Gantantra Party
1008,Sudhir Gupta,"698,335",60.1%,Bharatiya Janta Party
1009,Meenakshi Natarajan,"394,686",34.0%,Indian National Congress
1010,Paras Saklecha Dada,"10,183",0.9%,Aam Aadmi Party
1011,C.S.Puttaraju,"524,370",44.0%,Janata Dal (Secular)
1012,Ramya,"518,852",43.5%,Indian National Congress
1013,Prof. B.Shivalingaiah,"86,993",7.3%,Bharatiya Janta Party
1014,Ramen Deka,"486,357",39.4%,Bharatiya Janta Party
1015,Kirip Chaliha,"463,473",37.6%,Indian National Congress
1016,Sahadev Das,"86,347",7.0%,Bodaland Peoples Front
1017,Hema Malini,"574,633",53.4%,Bharatiya Janta Party
1018,Jayant Chaudhary,"243,890",22.6%,Rashtriya Lok Dal
1019,Pt. Yogesh Kumar Dwivedi,"173,572",16.1%,Bahujan Samaj Party
1020,Choudhury Mohan Jatua,"627,761",49.6%,All India Trinamool Congress
1021,Rinku Naskar,"489,325",38.7%,Communist Party Of India (MARXIST)
1022,Tapan Naskar,"65,965",5.2%,Bharatiya Janta Party
1023,Appa Alias Shrirang Chandu Barne,"512,226",43.6%,Shiv Sena
1024,Jagtap Laxmanbhau Pandurang,"354,829",30.2%,Peasants And Workers Party Of India
1025,Narwekar Rahul Suresh,"182,293",15.5%,Nationalist Congress Party
1026,Kodikunnil Suresh,"402,432",45.3%,Indian National Congress
1027,Chengara Surendran,"369,695",41.6%,Communist Party Of India
1028,Adv.P.Sudheer,"79,743",9.0%,Bharatiya Janta Party
1029,Bharathi Mohan R.K,"513,729",50.1%,All India Anna Dravida Munnetra Kazhagam
1030,Hyder Ali.S,"236,679",23.1%,Manithaneya Makkal Katchi
1031,Agoram. K,"144,085",14.0%,Pattali Makkal Katchi
1032,Rama Chandra Hansdah,"393,779",37.4%,Biju Janata Dal
1033,Nepole Raghu Murmu,"270,913",25.7%,Bharatiya Janta Party
1034,Debashis Marndi,"172,984",16.4%,Jharkhand Mukti Morcha
1035,Kalvakuntla Chandrasekhar Rao,"657,492",55.2%,Telangana Rashtra Samithi
1036,Dr.P. Shravan Kumar Reddy,"260,463",21.9%,Indian National Congress
1037,Chaganla Narendra Nath,"181,804",15.3%,Bharatiya Janta Party
1038,Sandhya Roy,"579,860",46.0%,All India Trinamool Congress
1039,Prabodh Panda,"395,194",31.4%,Communist Party Of India
1040,Prabhakar Tewari,"180,112",14.3%,Bharatiya Janta Party
1041,Rajendra Agarwal,"532,981",47.9%,Bharatiya Janta Party
1042,Mohd.Shahid Akhlak,"300,655",27.0%,Bahujan Samaj Party
1043,Shahid Manzoor,"211,759",19.0%,Samajwadi Party
1044,Anupriya Singh Patel,"436,536",43.3%,Apna Dal
1045,Samudra Bind,"217,457",21.6%,Bahujan Samaj Party
1046,Lalitesh Pati Tripathi,"152,666",15.2%,Indian National Congress
1047,Anju Bala,"412,575",41.3%,Bharatiya Janta Party
1048,Ashok Kumar Rawat,"325,212",32.6%,Bahujan Samaj Party
1049,Jai Prakash,"194,759",19.5%,Samajwadi Party
1050,C. L. Ruala,"210,485",48.6%,Indian National Congress
1051,Robert Romawia Royte,"204,331",47.2%,Independent
1052,M.Lalmanzuala,"11,890",2.7%,Aam Aadmi Party
1053,Kaushal Kishore,"455,274",40.8%,Bharatiya Janta Party
1054,R.K Chaudhary,"309,858",27.8%,Bahujan Samaj Party
1055,Sushila Saroj,"242,366",21.7%,Samajwadi Party
1056,Kunwer Sarvesh Kumar,"485,224",43.0%,Bharatiya Janta Party
1057,Dr S T Hasan,"397,720",35.3%,Samajwadi Party
1058,Haji Mohd Yaqoob,"160,945",14.3%,Bahujan Samaj Party
1059,Anoop Mishra,"375,567",44.0%,Bharatiya Janta Party
1060,Brindawan Singh Sikarwar,"242,586",28.4%,Bahujan Samaj Party
1061,Dr Govind Singh,"184,253",21.6%,Indian National Congress
1062,Gopal Chinayya Shetty,"664,004",70.1%,Bharatiya Janta Party
1063,Sanjay Brijkishorlal Nirupam,"217,422",23.0%,Indian National Congress
1064,Satish Parasmal Jain,"32,364",3.4%,Aam Aadmi Party
1065,Poonam Mahajan Alias Poonam Vajendla Rao,"478,535",56.6%,Bharatiya Janta Party
1066,Dutt Priya Sunil,"291,764",34.5%,Indian National Congress
1067,Phiroze Palkhivala,"34,824",4.1%,Aam Aadmi Party
1068,Kirit Somaiya,"525,285",61.0%,Bharatiya Janta Party
1069,Sanjay Dina Patil,"208,163",24.2%,Nationalist Congress Party
1070,Medha Patkar,"76,451",8.9%,Aam Aadmi Party
1071,Gajanan Chandrakant Kirtikar,"464,820",51.9%,Shiv Sena
1072,Kamat Gurudas Vasant,"281,792",31.5%,Indian National Congress
1073,Mahesh Waman Manjrekar,"66,088",7.4%,Maharashtra Navnirman Sena
1074,Arvind Sawant,"374,780",48.0%,Shiv Sena
1075,Deora Milind Murli,"246,632",31.6%,Indian National Congress
1076,Bala Nandgaonkar,"84,864",10.9%,Maharashtra Navnirman Sena
1077,Rahul Ramesh Shewale,"381,275",49.6%,Shiv Sena
1078,Eknath M. Gaikwad,"242,933",31.6%,Indian National Congress
1079,Aditya Rajan Shirodkar,"73,113",9.5%,Maharashtra Navnirman Sena
1080,Veena Devi,"352,911",38.6%,Lok Jan Shakti Party
1081,Rajiv Ranjan Singh Alias Lalan Singh,"243,827",26.7%,Janata Dal (United)
1082,Pragati Mehta,"182,971",20.0%,Rashtriya Janata Dal
1083,Badaruddoza Khan,"426,947",33.2%,Communist Party Of India (MARXIST)
1084,Abdul Mannan Hossain,"408,494",31.7%,Indian National Congress
1085,Ali Mohammad,"289,027",22.4%,All India Trinamool Congress
1086,(DR.) SANJEEV KUMAR BALYAN,"653,391",59.0%,Bharatiya Janta Party
1087,Kadir Rana,"252,241",22.8%,Bahujan Samaj Party
1088,Virender Singh,"160,810",14.5%,Samajwadi Party
1089,Ajay Nishad,"469,295",49.5%,Bharatiya Janta Party
1090,Akhilesh Pd Singh,"246,873",26.0%,Indian National Congress
1091,Vijendra Chaudhary,"85,140",9.0%,Janata Dal (United)
1092,Prathap Simha,"503,908",43.5%,Bharatiya Janta Party
1093,Adagooru H Vishwanath,"472,300",40.7%,Indian National Congress
1094,Chandrashekaraiah,"138,587",12.0%,Janata Dal (Secular)
1095,Balabhadra Majhi,"373,887",36.6%,Biju Janata Dal
1096,Pradeep Kumar Majhi,"371,845",36.4%,Indian National Congress
1097,Parsuram Majhi,"138,430",13.5%,Bharatiya Janta Party
1098,Neiphiu Rio,"713,372",68.7%,Naga Peoples Front
1099,K. V. Pusa,"313,147",30.1%,Indian National Congress
1100,Akhei Achumi,"9,695",0.9%,Socialist Party (India)
1101,Gopal. Dr. K,"434,174",46.1%,All India Anna Dravida Munnetra Kazhagam
1102,Vijayan. A.K.S,"328,095",34.8%,Dravida Munetra Kazhagam
1103,Palanisamy. G,"90,313",9.6%,Communist Party Of India
1104,Yellaiah Nandi,"420,075",37.9%,Indian National Congress
1105,Dr. Manda Jagannath,"403,399",36.4%,Telangana Rashtra Samithi
1106,Bakkani Narsimlu,"183,352",16.5%,Telugu Desam
1107,C R Choudhary,"414,791",41.3%,Bharatiya Janta Party
1108,Dr Jyoti Mirdha,"339,573",33.8%,Indian National Congress
1109,Hanuman Beniwal,"159,980",15.9%,Independent
1110,Yashwant Singh,"367,825",39.0%,Bharatiya Janta Party
1111,Yashvir Singh,"275,435",29.2%,Samajwadi Party
1112,Girish Chandra,"245,685",26.1%,Bahujan Samaj Party
1113,Gadkari Nitin Jairam,"587,767",54.2%,Bharatiya Janta Party
1114,Vilas Muttemwar,"302,939",27.9%,Indian National Congress
1115,Dr. Mohan Ramrao Gaikwad,"96,433",8.9%,Bahujan Samaj Party
1116,Bhagat Singh Koshyari,"636,769",57.8%,Bharatiya Janta Party
1117,K.C.Singh Baba,"352,052",32.0%,Indian National Congress
1118,Laik Ahmed,"59,245",5.4%,Bahujan Samaj Party
1119,Kaushlendra Kumar,"321,982",34.9%,Janata Dal (United)
1120,Satya Nand Sharma,"312,355",33.9%,Lok Jan Shakti Party
1121,Ashish Ranjan Sinha,"127,270",13.8%,Indian National Congress
1122,Gutha Sukhender Reddy,"472,093",39.7%,Indian National Congress
1123,Tera Chinnapa Reddy,"278,937",23.5%,Telugu Desam
1124,Dr. Palla Rajeshwar Reddy,"260,677",21.9%,Telangana Rashtra Samithi
1125,Sundaram P.R,"563,272",53.2%,All India Anna Dravida Munnetra Kazhagam
1126,Gandhiselvan.S,"268,898",25.4%,Dravida Munetra Kazhagam
1127,Vel S.K,"146,882",13.9%,Desiya Murpokku Dravida Kazhagam
1128,Ashok Shankarrao Chavan,"493,075",48.7%,Indian National Congress
1129,D. B. Patil,"411,620",40.6%,Bharatiya Janta Party
1130,Rajratna Ambedkar,"28,447",2.8%,Bahujan Mukti Party
1131,Dr.Gavit Heena Vaijaykumar,"579,486",51.9%,Bharatiya Janta Party
1132,Gavit Manikrao Hodlya,"472,581",42.3%,Indian National Congress
1133,Vasave Amit Sheklal,"12,133",1.1%,Bahujan Samaj Party
1134,S.P.Y Reddy,"622,411",51.7%,Yuvajana Sramika Rythu Congress Party
1135,N.Md.Farook,"516,645",42.9%,Telugu Desam
1136,B.Y.Ramaiah,"16,378",1.4%,Indian National Congress
1137,Sambasiva Rao Rayapati,"632,464",49.3%,Telugu Desam
1138,Ayodhya Ramireddy Alla,"597,184",46.6%,Yuvajana Sramika Rythu Congress Party
1139,Kondapalli Venkateswarlu,"22,943",1.8%,Indian National Congress
1140,Gokaraju Ganga Raju,"540,306",49.6%,Bharatiya Janta Party
1141,Vanka Ravindranath,"454,955",41.8%,Yuvajana Sramika Rythu Congress Party
1142,Kanumuru Bapi Raju,"27,083",2.5%,Indian National Congress
1143,Godse Hemant Tukaram,"494,735",52.8%,Shiv Sena
1144,Chhagan Bhujbal,"307,399",32.8%,Nationalist Congress Party
1145,Dr. Pradeep Pawar,"63,050",6.7%,Maharashtra Navnirman Sena
1146,C. R. Patil,"820,831",70.7%,Bharatiya Janta Party
1147,Maksud Mirza,"262,715",22.6%,Indian National Congress
1148,Mehul Patel,"14,299",1.2%,Aam Aadmi Party
1149,Giriraj Singh,"390,248",44.1%,Bharatiya Janta Party
1150,Raj Ballabh Prasad,"250,091",28.3%,Rashtriya Janata Dal
1151,Kaushal Yadav,"168,217",19.0%,Janata Dal (United)
1152,Mekapati Rajamohan Reddy,"576,396",48.5%,Yuvajana Sramika Rythu Congress Party
1153,Adala Prabhakara Reddy,"562,918",47.4%,Telugu Desam
1154,Narayana Reddy Vakati,"22,870",1.9%,Indian National Congress
1155,Meenakashi Lekhi,"453,350",46.7%,Bharatiya Janta Party
1156,Ashish Khetan,"290,642",30.0%,Aam Aadmi Party
1157,Ajay Makan,"182,893",18.9%,Indian National Congress
1158,"Gopalakrishnan, C.","463,700",49.7%,All India Anna Dravida Munnetra Kazhagam
1159,"Raja, A.","358,760",38.4%,Dravida Munetra Kazhagam
1160,"Gandhi, P.","37,702",4.0%,Indian National Congress
1161,Kalvakuntla Kavitha,"439,307",42.5%,Telangana Rashtra Samithi
1162,Madhu Yaskhi Goud,"272,123",26.3%,Indian National Congress
1163,Endala Lakshminarayana,"225,333",21.8%,Bharatiya Janta Party
1164,Manoj Tiwari,"596,125",45.3%,Bharatiya Janta Party
1165,Anand Kumar,"452,041",34.3%,Aam Aadmi Party
1166,Jai Parkash Agarwal,"214,792",16.3%,Indian National Congress
1167,Shripad Yesso Naik,"237,903",58.5%,Bharatiya Janta Party
1168,Ravi Naik,"132,304",32.5%,Indian National Congress
1169,Dr.Dattaram Desai,"15,857",3.9%,Aam Aadmi Party
1170,Udit Raj,"629,860",46.4%,Bharatiya Janta Party
1171,Rakhi Birla,"523,058",38.6%,Aam Aadmi Party
1172,Krishna,"157,468",11.6%,Indian National Congress
